hud_id,project,proj_cty,proj_st,proj_zip,fips2020,yr_pis,n_units,li_units
ARA20201007,STONE RIDGE,MORRILTON,AR,72110,05029950300,2020,33.0,32.0
AZA20200012,STEPPING STONE PHASE III,PHOENIX,AZ,85006-2944,04013113204,2020,42.0,42.0
AZA20210001,AZ3 PORTFOLIO,BUCKEYE,AZ,85326-3011,04013050702,2021,170.0,170.0
AZA20210005,CENTER OF HOPE APARTMENTS,TUCSON,AZ,85714-1943,04019004118,2021,100.0,100.0
AZA20210009,KACHINA GARDENS,WINSLOW,AZ,84067-9319,04017960500,2021,52.0,51.0
AZA20210012,MARICOPA COUNTY APARTMENTS,PHOENIX,AZ,85014-4512,04013108602,2021,217.0,215.0
AZA20210015,SOLSTICE OF MESA,MESA,AZ,85208,04013422627,2021,237.0,235.0
AZA20210018,WESTERN SUN APARTMENTS,MESA,AZ,85204-3648,04013421802,2021,60.0,60.0
AZA20220001,SOLUNA II,PHOENIX,AZ,85006,04013113301,2022,66.0,62.0
AZA20220002,VISTABELLA,SIERRA VISTA,AZ,85635,04003001602,2022,60.0,60.0
CAA20200001,1150 THIRD STREET (MISSION BAY SOUTH BLOCK 3 EAST),SAN FRANCISCO,CA,94158,06075060701,2020,119.0,118.0
CAA20200002,AGENO APARTMENTS,LIVERMORE,CA,94550,06001451104,2020,36.0,35.0
CAA20200010,CASA DEL SOL,LOS ANGELES,CA,91352,06037122122,2020,44.0,43.0
CAA20200016,DOROTHY DAY COMMUNITY,SAN FRANCISCO,CA,94102,06075012504,2020,100.0,99.0
CAA20200017,EAST 6TH STREET FAMILY APARTMENTS,CORONA,CA,92879,06065041602,2020,85.0,84.0
CAA20200024,IMPERIAL VI,CALEXICO; SEELEY; HOLTVIL,CA,92231,06025012102,2020,256.0,250.0
CAA20200026,JUDSON TERRACE HOMES,SAN LUIS OBISPO,CA,93401,06079011001,2020,107.0,101.0
CAA20200029,KENSINGTON II,LANCASTER,CA,93536,06037900901,2020,51.0,50.0
CAA20200030,KIMBALL TOWER,NATIONAL CITY,CA,91950,06073011700,2020,151.0,149.0
CAA20200031,LAKEVIEW TERRACE APARTMENTS,LOS ANGELES (PACOIMA),CA,91331,06037104204,2020,128.0,126.0
CAA20200033,MADISON PARK APARTMENTS,OAKLAND,CA,94607,06001403301,2020,98.0,96.0
CAA20200038,MISSION TRAIL APARTMENTS,LAKE ELSINORE,CA,92530,06065043001,2020,81.0,80.0
CAA20200039,MONTEREY GATEWAY APARTMENTS,GILROY,CA,95020,06085512603,2020,75.0,74.0
CAA20200042,ONE CHURCH STREET APARTMENTS,SAN FRANCISCO,CA,94114,06075016801,2020,93.0,92.0
CAA20200044,PARK AVENUE SENIOR HOUSING,SAN JOSE,CA,95126,06085500300,2020,100.0,99.0
CAA20200049,RENASCENT PLACE,SAN JOSE,CA,95111,06085503218,2020,162.0,160.0
CAA20200065,UPTOWN NEWPORT I (NORTH) - 4301 JAMBOREE,NEWPORT BEACH,CA,92660,06059062610,2020,49.0,46.0
CAA20200067,WARM SPRINGS INCLUSIONARY,FREMONT,CA,94538,06001441525,2020,102.0,101.0
CAA20201001,1500 MISSION STREET - 80/20 APARTMENTS,SAN FRANCISCO,CA,94103,06075017700,2020,110.0,110.0
CAA20201002,490 SOUTH VAN NESS AVE,SAN FRANCISCO,CA,94103,06075020102,2020,81.0,80.0
CAA20201003,ARIA (FKA CAMBRIA APARTMENTS),LOS ANGELES,CA,90017,06037209300,2020,57.0,56.0
CAA20201005,BENNETT HOUSE,FAIRFAX,CA,94930,06041114200,2020,70.0,69.0
CAA20201007,BRUNSWICK STREET APARTMENTS,DALY CITY,CA,94014,06081600701,2020,206.0,204.0
CAA20201011,CASCADE VILLAGE APARTMENTS,SACRAMENTO,CA,95820,06067003204,2020,74.0,73.0
CAA20201013,CORNERSTONE APARTMENTS,SANTA ANA,CA,92701,06059074501,2020,126.0,125.0
CAA20201014,COTTAGE VILLAGE SENIOR APARTMENTS,MANTECA,CA,95336,06077005140,2020,48.0,47.0
CAA20201018,ETHEL ARNOLD APARTMENTS,LOS ANGELES,CA,90044,06037237800,2020,81.0,80.0
CAA20201019,FAIRFIELD APARTMENTS (PARKSIDE VILLA APARTMENTS +,FAIRFIELD,CA,94533,06095252606,2020,128.0,126.0
CAA20201020,FAITH - TENNYSON,HAYWARD,CA,94544,06001437600,2020,158.0,155.0
CAA20201023,GRAVENSTEIN APARTMENTS,SEBASTOPOL,CA,95472,06097153405,2020,60.0,59.0
CAA20201024,INNOVIA,FREMONT,CA,94538,06001441525,2020,290.0,287.0
CAA20201025,JORDAN DOWNS PHASE 1B,LOS ANGELES,CA,90002,06037242202,2020,135.0,133.0
CAA20201027,KRISTEN COURT APARTMENTS II,LIVE OAK,CA,95953,06101050702,2020,24.0,24.0
CAA20201028,LA MESA SPRINGS,LA MESA,CA,91942,06073014601,2020,129.0,128.0
CAA20201029,LAS PALMAS DE SAL GONZALEZ SR. APARTMENTS,FRESNO,CA,93727,06019001407,2020,135.0,134.0
CAA20201030,LEISURE TERRACE APARTMENTS,HAYWARD,CA,64541,06001436403,2020,68.0,67.0
CAA20201031,MAGNET SENIOR HOUSING,IRVINE,CA,92618,06059052439,2020,165.0,163.0
CAA20201033,MARKET STREET APARTMENTS,REDDING,CA,96001,06089010100,2020,82.0,81.0
CAA20201034,MARKHAM PLAZA I,SAN JOSE,CA,95112,06085503122,2020,153.0,152.0
CAA20201035,METAMORPHOSIS ON FOOTHILLL,SYLMAR,CA,91342,06037106113,2020,48.0,47.0
CAA20201037,MISSION VILLAGE II,TEMECULA,CA,92590,06065051200,2020,76.0,75.0
CAA20201038,MORGAN TOWER,NATIONAL CITY,CA,91950,06073011700,2020,152.0,151.0
CAA20201039,MOUNTAIN VIEW VILLAGE,LAMONT,CA,93241,06029006404,2020,41.0,40.0
CAA20201040,PATH METRO VILLAS - PHASE 2,LOS ANGELES,CA,90004,06037192700,2020,122.0,120.0
CAA20201043,PARK WESTERN APARTMENTS,LOS ANGELES,CA,90732,06037296300,2020,216.0,214.0
CAA20201044,PASEO ESTERO 4%,OAKLAND,CA,94606,06001406000,2020,60.0,60.0
CAA20201048,RENTAL ASSISTANCE DEMONSTRATION PHASE I,SACRAMENTO,CA,95822,06067004014,2020,124.0,124.0
CAA20201049,RAMPART MINT,LOS ANGELES,CA,90057,06037208620,2020,23.0,22.0
CAA20201050,RESIDENCES ON MAIN,LOS ANGELES,CA,90003,06037239310,2020,50.0,49.0
CAA20201051,RIVER PARK MANOR,NAPA,CA,94559,06055200802,2020,106.0,104.0
CAA20201052,ROBERT FARRELL + WESTERN GARDENS APARTMENTS,LOS ANGELES,CA,90047,06037237300,2020,70.0,68.0
CAA20201053,SALERNO,IRVINE,CA,92618,06059052433,2020,80.0,79.0
