county_name,"house totalvotes, 2020","house dem votecount, 2020","house rep votecount, 2020",dem_pct_house_2020,rep_pct_house_2020,state,"house totalvotes, 2024","house dem votecount, 2024","house rep votecount, 2024"
abbeville,12387.0,3938.0,8437.0,0.3179139420360055,0.681117300395576,south carolina,11714.0,3085.0,8273.0
acadia,27361.0,5005.0,21843.0,0.1829246007090384,0.7983260845729323,louisiana,25597.0,3046.0,20900.0
accomack,16850.0,7707.0,8793.0,0.4573887240356083,0.521839762611276,virginia,17151.0,7044.0,9795.0
ada,255008.0,107315.0,138488.0,0.4208299347471452,0.5430731584891454,idaho,259192.0,103820.0,142602.0
adair,4060.0,1263.0,2655.0,0.31108374384236454,0.6539408866995073,iowa,3955.0,1174.0,2771.0
adair,8575.0,1202.0,7373.0,0.14017492711370264,0.8598250728862974,kentucky,8763.0,1203.0,7560.0
adair,10228.0,3219.0,6814.0,0.31472428627297616,0.6662104028157998,missouri,9949.0,2803.0,6931.0
adair,7085.0,1366.0,5488.0,0.19280169371912492,0.7745942131263233,oklahoma,7132.0,1399.0,5385.0
adams,226122.0,126878.0,90546.0,0.5611041826978357,0.40042985644917345,colorado,224071.0,120839.0,96465.0
adams,2523.0,553.0,1884.0,0.21918351169242964,0.746730083234245,idaho,2635.0,557.0,2001.0
adams,33119.0,6986.0,26133.0,0.21093632054107914,0.7890636794589209,illinois,27325.0,0.0,27187.0
adams,13999.0,3045.0,10954.0,0.21751553682405886,0.7824844631759411,indiana,13221.0,2770.0,10026.0
adams,2133.0,634.0,1416.0,0.2972339428035631,0.6638537271448663,iowa,2075.0,603.0,1468.0
adams,12792.0,6990.0,5802.0,0.5464352720450282,0.4535647279549719,mississippi,11871.0,6947.0,4924.0
adams,14181.0,3126.0,10450.0,0.22043579437275226,0.7369014879063536,nebraska,13930.0,3440.0,10490.0
adams,1256.0,,1010.0,,0.804140127388535,north dakota,1187.0,201.0,982.0
adams,11873.0,2121.0,9752.0,0.17864061315589994,0.8213593868441,ohio,11764.0,2038.0,9726.0
adams,55769.0,17392.0,38377.0,0.31185784217038137,0.6881421578296186,pennsylvania,59812.0,18815.0,40997.0
adams,5761.0,1488.0,4265.0,0.25828849158132267,0.7403228606144766,washington,5145.0,401.0,3293.0
adams,11554.0,4639.0,6910.0,0.40150597195776355,0.5980612774796608,wisconsin,12656.0,4922.0,7711.0
addison,22212.0,14973.0,5449.0,0.6740950837385197,0.24531784620925626,vermont,21712.0,13845.0,6406.0
aiken,85037.0,31367.0,52331.0,0.36886296553265047,0.6153909474699248,south carolina,83243.0,28501.0,54585.0
aitkin,9750.0,,6063.0,,0.6218461538461538,minnesota,10225.0,3439.0,6776.0
alachua,143633.0,86857.0,52914.0,0.6047147939540356,0.3683972346187854,florida,133776.0,78904.0,54872.0
alamance,84951.0,38416.0,46535.0,0.4522136290332074,0.5477863709667926,north carolina,88040.0,37905.0,46466.0
alameda,738251.0,595439.0,142812.0,0.8065535976246561,0.19344640237534388,california,616732.0,410471.0,108512.0
alamosa,7662.0,3616.0,3746.0,0.4719394413991125,0.48890629078569564,colorado,7350.0,3525.0,3573.0
albany,154727.0,88304.0,43671.0,0.5707084090042462,0.28224550337045246,new york,145503.0,97295.0,48041.0
albany,18744.0,8440.0,8629.0,0.45027742210840804,0.4603606487409304,wyoming,17342.0,7674.0,8559.0
albemarle,63564.0,43361.0,20005.0,0.6821628594802089,0.3147221697816374,virginia,66139.0,42699.0,23210.0
alcona,6894.0,1911.0,4901.0,0.27719756309834637,0.7109080359733101,michigan,7312.0,1921.0,5181.0
alcorn,15221.0,2441.0,12780.0,0.1603705407003482,0.8396294592996518,mississippi,14882.0,2208.0,12674.0
alexander,2525.0,966.0,1559.0,0.3825742574257426,0.6174257425742574,illinois,2219.0,820.0,1399.0
alexander,19996.0,3996.0,15567.0,0.1998399679935987,0.778505701140228,north carolina,20291.0,4029.0,16262.0
alexandria city,81268.0,64007.0,17034.0,0.7876039769651031,0.2096027956883398,virginia,,,
alfalfa,2252.0,218.0,2034.0,0.09680284191829484,0.9031971580817052,oklahoma,0.0,0.0,0.0
alger,5063.0,1936.0,3063.0,0.38238198696425046,0.6049772861939562,michigan,5190.0,2046.0,3018.0
allamakee,7295.0,2697.0,4595.0,0.36970527758738864,0.6298834818368746,iowa,7118.0,2116.0,4863.0
allegan,65943.0,19954.0,43450.0,0.302594665089547,0.6589023853934458,michigan,70802.0,23046.0,46652.0
allegany,29488.0,9359.0,19671.0,0.31738334237655996,0.6670849158979925,maryland,30531.0,9785.0,20668.0
allegany,20292.0,5121.0,13128.0,0.2523654642223536,0.6469544648137197,new york,17655.0,4144.0,13511.0
alleghany,6041.0,1380.0,4549.0,0.2284390001655355,0.7530210230094355,north carolina,6426.0,1516.0,4910.0
alleghany,6790.0,,6550.0,,0.9646539027982327,virginia,8073.0,1900.0,5980.0
allegheny,712447.0,443558.0,268889.0,0.6225838553604689,0.3774161446395311,pennsylvania,703552.0,414371.0,289181.0
allen,166545.0,68118.0,98427.0,0.40900657479960373,0.5909934252003963,indiana,159124.0,63765.0,90542.0
allen,5853.0,1493.0,4118.0,0.25508286348880915,0.7035708183837348,kansas,5532.0,1438.0,3911.0
allen,9175.0,1472.0,7703.0,0.16043596730245233,0.8395640326975476,kentucky,9290.0,1433.0,7857.0
allen,9095.0,1831.0,7264.0,0.20131940626717976,0.7986805937328202,louisiana,7837.0,0.0,6937.0
allen,47445.0,13080.0,33201.0,0.2756876383180525,0.6997786911160291,ohio,45076.0,13203.0,31873.0
allendale,3616.0,2778.0,812.0,0.7682522123893806,0.2245575221238938,south carolina,2925.0,2047.0,775.0
alpena,16579.0,5336.0,10961.0,0.32185294649858254,0.6611375836902105,michigan,16829.0,5507.0,10769.0
alpine,737.0,473.0,264.0,0.6417910447761194,0.3582089552238806,california,725.0,462.0,263.0
amador,22092.0,8259.0,13833.0,0.3738457360130364,0.6261542639869636,california,21940.0,7336.0,14604.0
amelia,7824.0,2542.0,5272.0,0.3248977505112474,0.6738241308793456,virginia,7813.0,2009.0,5755.0
amherst,16840.0,5110.0,11715.0,0.30344418052256533,0.6956650831353919,virginia,17199.0,5535.0,11609.0
amite,6938.0,2521.0,4417.0,0.363361199192851,0.6366388008071491,mississippi,6825.0,2411.0,4414.0
anderson,3715.0,777.0,2751.0,0.20915208613728128,0.7405114401076716,kansas,3661.0,891.0,2489.0
anderson,13250.0,3318.0,9751.0,0.25041509433962267,0.7359245283018868,kentucky,12986.0,2926.0,10060.0
anderson,95634.0,25106.0,70455.0,0.262521697304306,0.7367149758454107,south carolina,95809.0,22085.0,71359.0
anderson,34280.0,10461.0,23069.0,0.30516336056009336,0.6729579929988332,tennessee,35433.0,10273.0,24118.0
