county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
abbeville,12450.0,4232.0,8025.0,0.33991967871485945,0.6445783132530121,south carolina,,,
acadia,27499.0,4376.0,22212.0,0.1591330593839776,0.8077384632168443,louisiana,,,
accomack,16811.0,7939.0,8863.0,0.4722503122955208,0.5272143239545536,virginia,17037.0,7672.0,9339.0
ada,258014.0,118718.0,130446.0,0.4601223189439333,0.5055772167401769,idaho,,,
adair,4144.0,1207.0,2809.0,0.29126447876447875,0.6778474903474904,iowa,,,
adair,8724.0,1623.0,6753.0,0.18603851444291608,0.7740715268225584,kentucky,,,
adair,,,,,,missouri,10098.0,3269.0,6545.0
adair,7074.0,1615.0,5134.0,0.22830081990387333,0.7257562906417868,oklahoma,,,
adams,235714.0,130409.0,98341.0,0.5532509736375438,0.41720474812696745,colorado,,,
adams,2561.0,625.0,1828.0,0.24404529480671613,0.7137836782506833,idaho,,,
adams,33264.0,8835.0,23625.0,0.2656024531024531,0.7102272727272727,illinois,,,
adams,,,,,,indiana,12376.0,2623.0,9453.0
adams,2159.0,594.0,1497.0,0.27512737378415936,0.6933765632237147,iowa,,,
adams,13758.0,8190.0,5416.0,0.595290013083297,0.39366186945777004,mississippi,11779.0,6560.0,5219.0
adams,13475.0,2583.0,9995.0,0.19168831168831169,0.7417439703153988,nebraska,14205.0,nan,8869.0
adams,13475.0,2583.0,9995.0,0.19168831168831169,0.7417439703153988,nebraska,14153.0,3715.0,10438.0
adams,,,,,,north dakota,1197.0,259.0,933.0
adams,,,,,,ohio,11946.0,2410.0,9142.0
adams,,,,,,pennsylvania,60276.0,19947.0,38505.0
adams,,,,,,washington,5175.0,1627.0,3504.0
adams,,,,,,wisconsin,12759.0,4806.0,7551.0
addison,,,,,,vermont,22351.0,nan,7038.0
aiken,85243.0,32829.0,51080.0,0.385122532055418,0.5992280891099563,south carolina,,,
aitkin,9845.0,,5761.0,,0.5851701371254444,minnesota,10284.0,4135.0,5857.0
alachua,,,,,,florida,135208.0,78314.0,54458.0
alamance,85508.0,38038.0,44246.0,0.444847265752912,0.517448659774524,north carolina,,,
alameda,,,,,,california,636051.0,488536.0,147515.0
alamosa,7707.0,3734.0,3800.0,0.48449461528480603,0.49305825872583364,colorado,,,
albany,,,,,,new york,145721.0,95195.0,49493.0
albany,18744.0,9038.0,9220.0,0.4821809645753308,0.4918907383696116,wyoming,17596.0,7745.0,9737.0
albemarle,63485.0,42730.0,20700.0,0.6730723793021973,0.32606127431676774,virginia,65956.0,43968.0,21912.0
alcona,6997.0,2284.0,4614.0,0.32642561097613265,0.659425468057739,michigan,7367.0,2133.0,5048.0
alcorn,15635.0,3641.0,11616.0,0.23287496002558364,0.7429485129517109,mississippi,14856.0,2280.0,12576.0
alexander,2550.0,1218.0,1284.0,0.4776470588235294,0.5035294117647059,illinois,,,
alexander,20044.0,4287.0,14739.0,0.21387946517661147,0.735332269008182,north carolina,,,
alexandria city,81983.0,65071.0,16802.0,0.7937133308124855,0.2049449276069429,virginia,,,
alfalfa,2258.0,262.0,1899.0,0.11603188662533215,0.8410097431355181,oklahoma,,,
alger,5082.0,2089.0,2919.0,0.4110586383313656,0.5743801652892562,michigan,5158.0,2047.0,3002.0
allamakee,7336.0,2602.0,4478.0,0.35468920392584513,0.6104143947655398,iowa,,,
allegan,66453.0,22945.0,42364.0,0.34528162761651093,0.6375031977487848,michigan,71370.0,25193.0,44205.0
allegany,,,,,,maryland,31411.0,7396.0,21811.0
allegany,,,,,,new york,17910.0,5427.0,12414.0
alleghany,6007.0,1587.0,4082.0,0.2641917762610288,0.6795405360412852,north carolina,,,
alleghany,7995.0,2822.0,5159.0,0.3529706066291432,0.6452782989368355,virginia,8157.0,2786.0,5358.0
allegheny,,,,,,pennsylvania,715922.0,425280.0,272861.0
allen,,,,,,indiana,157837.0,64275.0,89831.0
allen,5871.0,1701.0,3856.0,0.2897291773122126,0.6567876000681315,kansas,,,
allen,9300.0,1919.0,6948.0,0.20634408602150536,0.7470967741935484,kentucky,,,
allen,9423.0,1746.0,7380.0,0.18529130850047756,0.7831900668576887,louisiana,,,
allen,,,,,,ohio,45269.0,13893.0,29763.0
allendale,3627.0,2773.0,833.0,0.764543700027571,0.22966639095671354,south carolina,,,
alpena,16771.0,6273.0,10257.0,0.3740385188718621,0.6115914376006201,michigan,16877.0,5827.0,10567.0
alpine,,,,,,california,725.0,463.0,262.0
amador,,,,,,california,21985.0,7454.0,14531.0
amelia,7833.0,2559.0,5266.0,0.32669475296821143,0.672283926975616,virginia,7920.0,2314.0,5600.0
amherst,16903.0,6273.0,10624.0,0.37111755309708333,0.6285274803289357,virginia,17224.0,5790.0,11414.0
amite,7171.0,2750.0,4347.0,0.38348905313066517,0.6061916050760006,mississippi,6808.0,2294.0,4514.0
anderson,3748.0,842.0,2638.0,0.22465314834578443,0.7038420490928495,kansas,,,
anderson,13229.0,3661.0,9017.0,0.276740494368433,0.6816085871947993,kentucky,,,
anderson,96133.0,28075.0,66655.0,0.29204331499069,0.6933623209511822,south carolina,,,
anderson,34548.0,10820.0,22988.0,0.3131874493458377,0.6653930762996411,tennessee,35967.0,11570.0,23677.0
anderson,19072.0,3792.0,14943.0,0.1988255033557047,0.7835046140939598,texas,19216.0,3872.0,15022.0
andrew,,,,,,missouri,9714.0,2490.0,6996.0
andrews,5794.0,779.0,4888.0,0.13444943044528823,0.843631342768381,texas,5972.0,873.0,4976.0
androscoggin,59361.0,22181.0,32979.0,0.3736628426070989,0.5555667862738162,maine,58214.0,5354.0,22073.0
angelina,34355.0,8771.0,24962.0,0.25530490467180905,0.7265900160093145,texas,34066.0,8382.0,24994.0
anne arundel,,,,,,maryland,310387.0,137645.0,164698.0
anoka,206804.0,,98043.0,,0.47408657472776156,minnesota,206111.0,106871.0,91380.0
anson,11108.0,5756.0,4981.0,0.5181850918257112,0.4484155563557796,north carolina,,,
antelope,3366.0,354.0,2828.0,0.1051693404634581,0.8401663695781343,nebraska,3409.0,nan,2580.0
antelope,3366.0,354.0,2828.0,0.1051693404634581,0.8401663695781343,nebraska,3408.0,342.0,3066.0
antrim,15877.0,5758.0,9924.0,0.36266297159412986,0.6250551111670971,michigan,16732.0,6178.0,10136.0
apache,35102.0,24050.0,11052.0,0.6851461455187738,0.31485385448122616,arizona,31936.0,19901.0,11283.0
appanoose,6386.0,1956.0,4189.0,0.306295020357031,0.6559661760100219,iowa,,,
appling,16346.0,3414.0,12702.0,0.20885843631469472,0.777070843019699,georgia,,,
appomattox,9065.0,2741.0,6306.0,0.30237175951461664,0.6956425813568671,virginia,9495.0,2562.0,6923.0
aransas,12164.0,2729.0,9189.0,0.2243505425846761,0.7554258467609339,texas,12956.0,3069.0,9605.0
arapahoe,348655.0,204054.0,136713.0,0.5852605010683913,0.3921154149517431,colorado,,,
archer,4724.0,467.0,4178.0,0.09885690093141405,0.884419983065199,texas,5109.0,562.0,4483.0
archuleta,9020.0,3591.0,5225.0,0.39811529933481155,0.5792682926829268,colorado,,,
arenac,8712.0,3085.0,5443.0,0.35410927456382,0.6247704315886135,michigan,8938.0,2786.0,5911.0
arkansas,6068.0,,4567.0,,0.752636783124588,arkansas,,,
arlington,129634.0,102880.0,26590.0,0.7936189579894164,0.20511594180539056,virginia,128359.0,100725.0,27269.0
armstrong,,,,,,pennsylvania,36944.0,9136.0,26653.0
armstrong,1106.0,64.0,1025.0,0.05786618444846293,0.9267631103074141,texas,1112.0,97.0,1001.0
aroostook,36210.0,9750.0,24033.0,0.26926263463131733,0.663711681855841,maine,35035.0,2492.0,14996.0
arthur,270.0,21.0,228.0,0.07777777777777778,0.8444444444444444,nebraska,280.0,nan,234.0
arthur,270.0,21.0,228.0,0.07777777777777778,0.8444444444444444,nebraska,285.0,18.0,267.0
ascension,60627.0,17119.0,41589.0,0.28236594256684316,0.6859814933940324,louisiana,,,
ashe,15636.0,4279.0,10619.0,0.27366334100793044,0.679137886927603,north carolina,,,
ashland,,,,,,ohio,25698.0,7191.0,17514.0
ashland,,,,,,wisconsin,8839.0,4775.0,3844.0
ashley,7750.0,,5801.0,,0.7485161290322581,arkansas,,,
ashtabula,,,,,,ohio,42034.0,16584.0,23716.0
asotin,,,,,,washington,11049.0,4386.0,6627.0
