cbsa23,cbsaname23,li_lihtc_units,new_permits_total,cbsatype23
0.0,,282.3333333333333,,
10100.0,"aberdeen, sd",0.0,88.0,micro
10140.0,"aberdeen, wa",0.0,297.0,micro
10180.0,"abilene, tx",0.0,520.0,metro
10220.0,"ada, ok",0.0,2.0,micro
10300.0,"adrian, mi",0.0,137.0,micro
10380.0,"aguadilla, pr",0.0,,metro
10420.0,"akron, oh",0.0,1310.0,metro
10460.0,"alamogordo, nm",0.0,6.0,micro
10480.0,"alamosa, co",0.0,90.0,micro
10500.0,"albany, ga",0.0,206.0,metro
10540.0,"albany, or",0.0,311.0,metro
10580.0,"albany-schenectady-troy, ny",80.33333333333333,2401.0,metro
10620.0,"albemarle, nc",0.0,367.0,micro
10660.0,"albert lea, mn",0.0,16.0,micro
10700.0,"albertville, al",0.0,163.0,micro
10740.0,"albuquerque, nm",0.0,2897.0,metro
10760.0,"alexander city, al",0.0,218.0,micro
10780.0,"alexandria, la",0.0,244.0,metro
10820.0,"alexandria, mn",0.0,285.0,micro
10860.0,"alice, tx",0.0,6.0,micro
10900.0,"allentown-bethlehem-easton, pa-nj",0.0,2142.0,metro
10940.0,"alma, mi",0.0,47.0,micro
10980.0,"alpena, mi",0.0,46.0,micro
11020.0,"altoona, pa",0.0,99.0,metro
11060.0,"altus, ok",0.0,8.0,micro
11100.0,"amarillo, tx",0.0,1298.0,metro
11140.0,"americus, ga",0.0,57.0,micro
11180.0,"ames, ia",0.0,276.0,metro
11200.0,"amherst town-northampton, ma",19.5,349.0,metro
11220.0,"amsterdam, ny",0.0,210.0,micro
11260.0,"anchorage, ak",0.0,397.0,metro
11360.0,"anderson creek, nc",0.0,2080.0,micro
11380.0,"andrews, tx",0.0,72.0,micro
11420.0,"angola, in",0.0,209.0,micro
11460.0,"ann arbor, mi",0.0,996.0,metro
11500.0,"anniston-oxford, al",0.0,135.0,metro
11540.0,"appleton, wi",0.0,651.0,metro
11580.0,"arcadia, fl",0.0,71.0,micro
11620.0,"ardmore, ok",0.0,73.0,micro
11640.0,"arecibo, pr",0.0,,metro
11660.0,"arkadelphia, ar",0.0,12.0,micro
11680.0,"arkansas city-winfield, ks",0.0,41.0,micro
11700.0,"asheville, nc",0.0,5048.0,metro
11740.0,"ashland, oh",0.0,61.0,micro
11820.0,"astoria, or",0.0,98.0,micro
11860.0,"atchison, ks",0.0,12.0,micro
11900.0,"athens, oh",0.0,5.0,micro
11940.0,"athens, tn",0.0,139.0,micro
11980.0,"athens, tx",0.0,263.0,micro
12020.0,"athens-clarke county, ga",0.0,1836.0,metro
12060.0,"atlanta-sandy springs-roswell, ga",29.0,40700.0,metro
12100.0,"atlantic city-hammonton, nj",131.33333333333334,1549.0,metro
12140.0,"auburn, in",0.0,116.0,micro
12180.0,"auburn, ny",0.0,161.0,micro
12220.0,"auburn-opelika, al",0.0,1863.0,metro
12260.0,"augusta-richmond county, ga-sc",0.0,4658.0,metro
12300.0,"augusta-waterville, me",28.5,460.0,micro
12380.0,"austin, mn",0.0,53.0,micro
12420.0,"austin-round rock-san marcos, tx",1097.25,32304.0,metro
12460.0,"bainbridge, ga",0.0,138.0,micro
12520.0,"baker city, or",0.0,28.0,micro
12540.0,"bakersfield-delano, ca",20.0,3244.0,metro
12580.0,"baltimore-columbia-towson, md",328.75,6247.0,metro
12620.0,"bangor, me",0.0,440.0,metro
12660.0,"baraboo, wi",0.0,527.0,micro
12700.0,"barnstable town, ma",15.0,657.0,metro
12740.0,"barre, vt",7.0,185.0,micro
12780.0,"bartlesville, ok",0.0,46.0,micro
12860.0,"batavia, ny",0.0,55.0,micro
12900.0,"batesville, ar",0.0,33.0,micro
12940.0,"baton rouge, la",0.0,4078.0,metro
12980.0,"battle creek, mi",0.0,132.0,metro
13020.0,"bay city, mi",50.0,39.0,metro
13060.0,"bay city, tx",0.0,153.0,micro
13100.0,"beatrice, ne",0.0,41.0,micro
13140.0,"beaumont-port arthur, tx",0.0,936.0,metro
13180.0,"beaver dam, wi",0.0,229.0,micro
13220.0,"beckley, wv",0.0,67.0,metro
13260.0,"bedford, in",0.0,8.0,micro
13300.0,"beeville, tx",0.0,15.0,micro
13340.0,"bellefontaine, oh",0.0,121.0,micro
13380.0,"bellingham, wa",0.0,1190.0,metro
13420.0,"bemidji, mn",0.0,165.0,micro
13460.0,"bend, or",45.5,1874.0,metro
13540.0,"bennington, vt",0.0,59.0,micro
13660.0,"big rapids, mi",0.0,116.0,micro
13700.0,"big spring, tx",0.0,69.0,micro
13740.0,"billings, mt",31.0,1452.0,metro
13780.0,"binghamton, ny",46.5,479.0,metro
13820.0,"birmingham, al",0.0,3748.0,metro
13860.0,"bishop, ca",0.0,18.0,micro
13900.0,"bismarck, nd",58.5,354.0,metro
13940.0,"blackfoot, id",0.0,251.0,micro
13980.0,"blacksburg-christiansburg-radford, va",40.0,484.0,metro
14010.0,"bloomington, il",0.0,247.0,metro
14020.0,"bloomington, in",157.75,992.0,metro
14100.0,"bloomsburg-berwick, pa",0.0,82.0,micro
14140.0,"bluefield, wv-va",0.0,8.0,micro
14180.0,"blytheville, ar",0.0,69.0,micro
14220.0,"bogalusa, la",0.0,10.0,micro
14260.0,"boise city, id",0.0,9069.0,metro
14300.0,"bonham, tx",0.0,82.0,micro
14380.0,"boone, nc",0.0,296.0,micro
14420.0,"borger, tx",0.0,2.0,micro
14460.0,"boston-cambridge-newton, ma-nh",660.3333333333334,11349.0,metro
14500.0,"boulder, co",279.5,1688.0,metro
14540.0,"bowling green, ky",0.0,2296.0,metro
14580.0,"bozeman, mt",114.66666666666667,1706.0,metro
14620.0,"bradford, pa",0.0,29.0,micro
14660.0,"brainerd, mn",0.0,705.0,micro
14700.0,"branson, mo",0.0,331.0,micro
14710.0,"brattleboro, vt",0.0,188.0,micro
14720.0,"breckenridge, co",0.0,363.0,micro
14740.0,"bremerton-silverdale-port orchard, wa",0.0,1294.0,metro
14780.0,"brenham, tx",0.0,111.0,micro
14820.0,"brevard, nc",0.0,217.0,micro
14860.0,"bridgeport-stamford-danbury, ct",,2003.0,
14940.0,"brigham city, ut-id",0.0,501.0,micro
15020.0,"brookhaven, ms",0.0,10.0,micro
15060.0,"brookings, or",0.0,52.0,micro
15100.0,"brookings, sd",0.0,224.0,micro
15180.0,"brownsville-harlingen, tx",0.0,2326.0,metro
15220.0,"brownwood, tx",0.0,142.0,micro
15260.0,"brunswick-st. simons, ga",0.0,,metro
15260.0,"brunswick-st.simons, ga",,910.0,metro
15340.0,"bucyrus, oh",0.0,8.0,micro
15380.0,"buffalo-cheektowaga, ny",172.66666666666666,1411.0,metro
15420.0,"burley, id",0.0,284.0,micro
15460.0,"burlington, ia-il",0.0,58.0,micro
15500.0,"burlington, nc",0.0,2466.0,metro
15540.0,"burlington-south burlington, vt",34.0,1120.0,metro
15580.0,"butte-silver bow, mt",16.0,109.0,micro
15620.0,"cadillac, mi",0.0,165.0,micro
15660.0,"calhoun, ga",0.0,414.0,micro
15700.0,"cambridge, md",0.0,81.0,micro
15740.0,"cambridge, oh",0.0,37.0,micro
15780.0,"camden, ar",0.0,18.0,micro
15820.0,"campbellsville, ky",0.0,13.0,micro
15860.0,"cañon city, co",0.0,139.0,micro
15900.0,"canton, il",0.0,14.0,micro
15940.0,"canton-massillon, oh",0.0,530.0,metro
15980.0,"cape coral-fort myers, fl",0.0,15411.0,metro
16020.0,"cape girardeau, mo-il",0.0,81.0,metro
16060.0,"carbondale, il",0.0,5.0,micro
16100.0,"carlsbad-artesia, nm",0.0,156.0,micro
16140.0,"carroll, ia",0.0,32.0,micro
16180.0,"carson city, nv",0.0,264.0,metro
16220.0,"casper, wy",0.0,310.0,metro
16260.0,"cedar city, ut",0.0,655.0,micro
16300.0,"cedar rapids, ia",0.0,1082.0,metro
16340.0,"cedartown, ga",0.0,128.0,micro
16380.0,"celina, oh",0.0,92.0,micro
16460.0,"centralia, il",0.0,2.0,micro
16500.0,"centralia, wa",0.0,265.0,micro
16540.0,"chambersburg, pa",0.0,633.0,metro
16580.0,"champaign-urbana, il",0.0,617.0,metro
16620.0,"charleston, wv",0.0,118.0,metro
16660.0,"charleston-mattoon, il",0.0,34.0,micro
16700.0,"charleston-north charleston, sc",32.0,8538.0,metro
16740.0,"charlotte-concord-gastonia, nc-sc",157.0,25952.0,metro
16820.0,"charlottesville, va",48.0,1252.0,metro
16860.0,"chattanooga, tn-ga",113.25,3599.0,metro
16940.0,"cheyenne, wy",0.0,485.0,metro
16980.0,"chicago-naperville-elgin, il-in",486.25,17516.0,metro
17020.0,"chico, ca",19.5,946.0,metro
17060.0,"chillicothe, oh",0.0,24.0,micro
17140.0,"cincinnati, oh-ky-in",0.0,7055.0,metro
17220.0,"clarksburg, wv",0.0,84.0,micro
17260.0,"clarksdale, ms",24.0,26.0,micro
17300.0,"clarksville, tn-ky",0.0,2801.0,metro
17340.0,"clearlake, ca",0.0,107.0,micro
17380.0,"cleveland, ms",65.33333333333333,10.0,micro
17410.0,"cleveland, oh",0.0,3833.0,metro
17420.0,"cleveland, tn",39.0,979.0,metro
17500.0,"clewiston, fl",0.0,622.0,micro
17540.0,"clinton, ia",0.0,116.0,micro
17580.0,"clovis, nm",0.0,200.0,micro
17620.0,"coamo, pr",0.0,,micro
17640.0,"coco, pr",0.0,,micro
17650.0,"cody, wy",12.0,203.0,micro
17660.0,"coeur d'alene, id",0.0,,metro
17660.0,"coeur dalene, id",,1606.0,metro
17740.0,"coldwater, mi",0.0,43.0,micro
17780.0,"college station-bryan, tx",0.0,2296.0,metro
17820.0,"colorado springs, co",166.66666666666666,4054.0,metro
17860.0,"columbia, mo",0.0,1322.0,metro
17900.0,"columbia, sc",37.333333333333336,5866.0,metro
17980.0,"columbus, ga-al",0.0,681.0,metro
18020.0,"columbus, in",57.0,195.0,metro
18060.0,"columbus, ms",0.0,131.0,micro
18100.0,"columbus, ne",0.0,138.0,micro
18140.0,"columbus, oh",0.0,13521.0,metro
18180.0,"concord, nh",0.0,380.0,micro
18220.0,"connersville, in",0.0,20.0,micro
18260.0,"cookeville, tn",40.0,926.0,micro
18300.0,"coos bay-north bend, or",0.0,122.0,micro
18340.0,"corbin, ky",0.0,81.0,micro
18380.0,"cordele, ga",0.0,21.0,micro
18420.0,"corinth, ms",25.0,13.0,micro
18460.0,"cornelia, ga",0.0,215.0,micro
18500.0,"corning, ny",0.0,196.0,micro
18580.0,"corpus christi, tx",52.0,1945.0,metro
18620.0,"corsicana, tx",75.0,522.0,micro
18660.0,"cortland, ny",0.0,45.0,micro
18700.0,"corvallis, or",0.0,116.0,metro
18740.0,"coshocton, oh",0.0,7.0,micro
18820.0,"crawfordsville, in",0.0,52.0,micro
18860.0,"crescent city, ca",0.0,55.0,micro
18880.0,"crestview-fort walton beach-destin, fl",0.0,4151.0,metro
18900.0,"crossville, tn",0.0,114.0,micro
18980.0,"cullman, al",0.0,180.0,micro
19060.0,"cumberland, md-wv",38.5,88.0,micro
19100.0,"dallas-fort worth-arlington, tx",710.5,72151.0,metro
19140.0,"dalton, ga",0.0,499.0,metro
19180.0,"danville, il",0.0,8.0,micro
19220.0,"danville, ky",0.0,176.0,micro
19260.0,"danville, va",0.0,126.0,micro
