cbsa23,cbsaname23,metro_micro_code,new_permits_total
10100,"aberdeen, sd",5,88
10140,"aberdeen, wa",5,297
10180,"abilene, tx",2,520
10220,"ada, ok",5,2
10300,"adrian, mi",5,137
10420,"akron, oh",2,1310
10460,"alamogordo, nm",5,6
10480,"alamosa, co",5,90
10500,"albany, ga",4,206
10540,"albany, or",2,311
10580,"albany-schenectady-troy, ny",2,2401
10620,"albemarle, nc",5,367
10660,"albert lea, mn",5,16
10700,"albertville, al",5,163
10740,"albuquerque, nm",2,2897
10760,"alexander city, al",5,218
10780,"alexandria, la",4,244
10820,"alexandria, mn",5,285
10860,"alice, tx",5,6
10900,"allentown-bethlehem-easton, pa-nj",2,2142
10940,"alma, mi",5,47
10980,"alpena, mi",5,46
11020,"altoona, pa",2,99
11060,"altus, ok",5,8
11100,"amarillo, tx",2,1298
11140,"americus, ga",5,57
11180,"ames, ia",2,276
11200,"amherst town-northampton, ma",2,349
11220,"amsterdam, ny",5,210
11260,"anchorage, ak",4,397
11360,"anderson creek, nc",5,2080
11380,"andrews, tx",5,72
11420,"angola, in",5,209
11460,"ann arbor, mi",2,996
11500,"anniston-oxford, al",4,135
11540,"appleton, wi",2,651
11580,"arcadia, fl",5,71
11620,"ardmore, ok",5,73
11660,"arkadelphia, ar",5,12
11680,"arkansas city-winfield, ks",5,41
11700,"asheville, nc",2,5048
11740,"ashland, oh",5,61
11820,"astoria, or",5,98
11860,"atchison, ks",5,12
11900,"athens, oh",5,5
11940,"athens, tn",5,139
11980,"athens, tx",5,263
12020,"athens-clarke county, ga",2,1836
12060,"atlanta-sandy springs-roswell, ga",2,40700
12100,"atlantic city-hammonton, nj",2,1549
12140,"auburn, in",5,116
12180,"auburn, ny",5,161
12220,"auburn-opelika, al",2,1863
12260,"augusta-richmond county, ga-sc",4,4658
12300,"augusta-waterville, me",5,460
12380,"austin, mn",5,53
12420,"austin-round rock-san marcos, tx",4,32304
12460,"bainbridge, ga",5,138
12520,"baker city, or",5,28
12540,"bakersfield-delano, ca",4,3244
12580,"baltimore-columbia-towson, md",2,6247
12620,"bangor, me",4,440
12660,"baraboo, wi",5,527
12700,"barnstable town, ma",2,657
12740,"barre, vt",5,185
12780,"bartlesville, ok",5,46
12860,"batavia, ny",5,55
12900,"batesville, ar",5,33
12940,"baton rouge, la",2,4078
12980,"battle creek, mi",2,132
13020,"bay city, mi",2,39
13060,"bay city, tx",5,153
13100,"beatrice, ne",5,41
13140,"beaumont-port arthur, tx",4,936
13180,"beaver dam, wi",5,229
13220,"beckley, wv",4,67
13260,"bedford, in",5,8
13300,"beeville, tx",5,15
13340,"bellefontaine, oh",5,121
13380,"bellingham, wa",4,1190
13420,"bemidji, mn",5,165
13460,"bend, or",4,1874
13540,"bennington, vt",5,59
13660,"big rapids, mi",5,116
13700,"big spring, tx",5,69
13740,"billings, mt",4,1452
13780,"binghamton, ny",4,479
13820,"birmingham, al",2,3748
13860,"bishop, ca",5,18
13900,"bismarck, nd",4,354
13940,"blackfoot, id",5,251
13980,"blacksburg-christiansburg-radford, va",4,484
14010,"bloomington, il",2,247
14020,"bloomington, in",2,992
14100,"bloomsburg-berwick, pa",5,82
14140,"bluefield, wv-va",5,8
14180,"blytheville, ar",5,69
14220,"bogalusa, la",5,10
14260,"boise city, id",2,9069
14300,"bonham, tx",5,82
14380,"boone, nc",5,296
14420,"borger, tx",5,2
14460,"boston-cambridge-newton, ma-nh",2,11349
14500,"boulder, co",2,1688
14540,"bowling green, ky",2,2296
14580,"bozeman, mt",4,1706
14620,"bradford, pa",5,29
14660,"brainerd, mn",5,705
14700,"branson, mo",5,331
14710,"brattleboro, vt",5,188
14720,"breckenridge, co",5,363
14740,"bremerton-silverdale-port orchard, wa",2,1294
14780,"brenham, tx",5,111
14820,"brevard, nc",5,217
14860,"bridgeport-stamford-danbury, ct",2,2003
14940,"brigham city, ut-id",5,501
15020,"brookhaven, ms",5,10
15060,"brookings, or",5,52
15100,"brookings, sd",5,224
15180,"brownsville-harlingen, tx",2,2326
15220,"brownwood, tx",5,142
15260,"brunswick-st.simons, ga",4,910
15340,"bucyrus, oh",5,8
15380,"buffalo-cheektowaga, ny",2,1411
15420,"burley, id",5,284
15460,"burlington, ia-il",5,58
15500,"burlington, nc",2,2466
15540,"burlington-south burlington, vt",2,1120
15580,"butte-silver bow, mt",5,109
15620,"cadillac, mi",5,165
15660,"calhoun, ga",5,414
15700,"cambridge, md",5,81
15740,"cambridge, oh",5,37
15780,"camden, ar",5,18
15820,"campbellsville, ky",5,13
15860,"cañon city, co",5,139
15900,"canton, il",5,14
15940,"canton-massillon, oh",2,530
15980,"cape coral-fort myers, fl",2,15411
16020,"cape girardeau, mo-il",2,81
16060,"carbondale, il",5,5
