csa,cbsa,msa_name,metro_micro_code,new_permits_total,new_permits_1,new_permits_2,new_permits_3_and_4,new_permits_5_or_more,num of structures with 5 units or more
999,10100,"aberdeen, sd",5,88,72,12,4,0,0
999,10140,"aberdeen, wa",5,297,255,10,15,17,2
101,10180,"abilene, tx",2,520,424,96,0,0,0
999,10220,"ada, ok",5,2,2,0,0,0,0
220,10300,"adrian, mi",5,137,137,0,0,0,0
184,10420,"akron, oh",2,1310,794,26,83,407,36
999,10460,"alamogordo, nm",5,6,6,0,0,0,0
999,10480,"alamosa, co",5,90,78,12,0,0,0
999,10500,"albany, ga",4,206,183,0,3,20,4
440,10540,"albany, or",2,311,203,38,10,60,6
104,10580,"albany-schenectady-troy, ny",2,2401,1192,36,66,1107,75
172,10620,"albemarle, nc",5,367,367,0,0,0,0
999,10660,"albert lea, mn",5,16,16,0,0,0,0
290,10700,"albertville, al",5,163,161,2,0,0,0
105,10740,"albuquerque, nm",2,2897,2085,46,4,762,28
194,10760,"alexander city, al",5,218,218,0,0,0,0
999,10780,"alexandria, la",4,244,222,22,0,0,0
999,10820,"alexandria, mn",5,285,195,2,0,88,1
204,10860,"alice, tx",5,6,6,0,0,0,0
106,10900,"allentown-bethlehem-easton, pa-nj",2,2142,1325,26,29,762,53
394,10940,"alma, mi",5,47,41,6,0,0,0
999,10980,"alpena, mi",5,46,44,2,0,0,0
107,11020,"altoona, pa",2,99,72,0,27,0,0
999,11060,"altus, ok",5,8,8,0,0,0,0
108,11100,"amarillo, tx",2,1298,640,2,6,650,30
999,11140,"americus, ga",5,57,42,0,0,15,3
218,11180,"ames, ia",2,276,208,10,8,50,7
521,11200,"amherst town-northampton, ma",2,349,154,10,0,185,30
104,11220,"amsterdam, ny",5,210,42,0,0,168,14
999,11260,"anchorage, ak",4,397,259,20,3,115,8
450,11360,"anderson creek, nc",5,2080,2068,0,0,12,2
372,11380,"andrews, tx",5,72,24,0,0,48,3
258,11420,"angola, in",5,209,135,2,0,72,3
220,11460,"ann arbor, mi",2,996,500,0,4,492,15
999,11500,"anniston-oxford, al",4,135,123,12,0,0,0
118,11540,"appleton, wi",2,651,577,44,0,30,5
412,11580,"arcadia, fl",5,71,71,0,0,0,0
999,11620,"ardmore, ok",5,73,73,0,0,0,0
999,11660,"arkadelphia, ar",5,12,12,0,0,0,0
556,11680,"arkansas city-winfield, ks",5,41,35,6,0,0,0
120,11700,"asheville, nc",2,5048,2624,2,4,2418,95
360,11740,"ashland, oh",5,61,57,4,0,0,0
999,11820,"astoria, or",5,98,89,6,3,0,0
312,11860,"atchison, ks",5,12,9,0,3,0,0
198,11900,"athens, oh",5,5,5,0,0,0,0
174,11940,"athens, tn",5,139,125,8,0,6,1
206,11980,"athens, tx",5,263,247,16,0,0,0
122,12020,"athens-clarke county, ga",2,1836,876,0,84,876,22
122,12060,"atlanta-sandy springs-roswell, ga",2,40700,25810,290,663,13937,896
428,12100,"atlantic city-hammonton, nj",2,1549,1041,136,79,293,22
258,12140,"auburn, in",5,116,116,0,0,0,0
532,12180,"auburn, ny",5,161,83,10,3,65,12
194,12220,"auburn-opelika, al",2,1863,1702,48,0,113,1
999,12260,"augusta-richmond county, ga-sc",4,4658,3596,10,29,1023,28
999,12300,"augusta-waterville, me",5,460,444,10,6,0,0
462,12380,"austin, mn",5,53,53,0,0,0,0
999,12420,"austin-round rock-san marcos, tx",4,32304,16521,660,115,15008,355
533,12460,"bainbridge, ga",5,138,82,6,0,50,10
999,12520,"baker city, or",5,28,26,2,0,0,0
999,12540,"bakersfield-delano, ca",4,3244,2812,336,23,73,13
548,12580,"baltimore-columbia-towson, md",2,6247,3812,10,0,2425,32
999,12620,"bangor, me",4,440,361,16,23,40,8
357,12660,"baraboo, wi",5,527,177,82,0,268,11
148,12700,"barnstable town, ma",2,657,447,26,6,178,15
162,12740,"barre, vt",5,185,135,12,8,30,1
538,12780,"bartlesville, ok",5,46,38,4,4,0,0
464,12860,"batavia, ny",5,55,53,2,0,0,0
999,12900,"batesville, ar",5,33,7,2,0,24,1
132,12940,"baton rouge, la",2,4078,3443,92,4,539,62
310,12980,"battle creek, mi",2,132,132,0,0,0,0
474,13020,"bay city, mi",2,39,37,2,0,0,0
288,13060,"bay city, tx",5,153,153,0,0,0,0
339,13100,"beatrice, ne",5,41,25,2,0,14,2
999,13140,"beaumont-port arthur, tx",4,936,856,22,8,50,9
376,13180,"beaver dam, wi",5,229,179,42,8,0,0
999,13220,"beckley, wv",4,67,67,0,0,0,0
144,13260,"bedford, in",5,8,8,0,0,0,0
999,13300,"beeville, tx",5,15,15,0,0,0,0
198,13340,"bellefontaine, oh",5,121,113,8,0,0,0
999,13380,"bellingham, wa",4,1190,773,56,34,327,12
999,13420,"bemidji, mn",5,165,72,12,0,81,13
999,13460,"bend, or",4,1874,1387,80,11,396,31
999,13540,"bennington, vt",5,59,57,2,0,0,0
266,13660,"big rapids, mi",5,116,116,0,0,0,0
999,13700,"big spring, tx",5,69,62,2,0,5,1
999,13740,"billings, mt",4,1452,895,146,130,281,10
999,13780,"binghamton, ny",4,479,145,0,0,334,38
142,13820,"birmingham, al",2,3748,3167,22,3,556,17
999,13860,"bishop, ca",5,18,18,0,0,0,0
999,13900,"bismarck, nd",4,354,284,24,41,5,1
292,13940,"blackfoot, id",5,251,247,4,0,0,0
999,13980,"blacksburg-christiansburg-radford, va",4,484,484,0,0,0,0
145,14010,"bloomington, il",2,247,175,14,4,54,4
144,14020,"bloomington, in",2,992,305,20,4,663,22
