ufips,name,cbsa,cbsaname,cbsa_weight,wrluri08
58660.0,"Plamer City, AK",1126,1126,0.017117545767627335,-1.2036239
38420.0,"Kenai City, AK",9999,9999,0.021272097149318357,-1.1884226
3000.0,"Anchorage Municipality, AK",1126,1126,0.9828824542323726,0.77042955
70540.0,"Sitka City, AK",9999,9999,0.02707274248260266,-1.8995211
60310.0,"Petersburg City, AK", , ,0.0028041488181956556,-2.1337023
86490.0,"Yukatat City, AK",9999,9999,0.0020836972142806802,-0.88721603
33140.0,"Homer City, AK",9999,9999,0.012091572364046418,-0.91376054
45784.0,"Madison City, AL",26620,"Limestone County, AL",0.1419637454923885,-1.1434321
33448.0,"Hartselle City, AL",19460,"Lawrence County, AL",0.1824793137478175,-0.8046776
57048.0,"Opelika City, AL",12220,"Lee County, AL",0.3534331052117019,-1.5285574
20104.0,"Decatur City, AL",19460,"Lawrence County, AL",0.8175206862521825,-1.2947217
20104.0,"Decatur City, AL",26620,"Limestone County, AL",0.00040175222052808636,-1.2947217
3076.0,"Auburn City, AL",12220,"Lee County, AL",0.6465668947882981,-0.20321727
14392.0,"Chickasaw City, Al",33660,"Mobile County, AL",0.030458796389359524,-1.7310513
5980.0,"Bessemer City, AL",13820,"St. Clair County, AL",0.08466417665571938,0.050487027
57120.0,"Opp City, AL", , ,0.005746591576246494,-1.6824356
50192.0,"Monroeville City, AL", , ,0.005968383743938768,-1.4144754
35392.0,"Hokes Bluff Town, AL",23460,"Etowah County, AL",0.21295488374480318,-0.4542295
33856.0,"Headland City, AL",20020,"Geneva County, AL",0.05812572182808117,-1.4105783
50000.0,"Mobile City, AL",33660,"Mobile County, AL",0.9520288315193981,-1.942003
15136.0,"Clanton City, AL",13820,"St. Clair County, AL",0.02225601839830854,-1.701173
24568.0,"Eufaula City, AL",21640,"Eufaula, AL-GA",1.0,-1.6132581
2956.0,"Athens, AL",26620,"Limestone County, AL",0.09180764297296644,-1.062862
32416.0,"Guntersville City, AL",10700,"Marshall County, AL",1.0,-1.3869231
65040.0,"Roanoke City, AL", , ,0.005708321555154493,-0.92068875
7000.0,"Birmingham City, AL",13820,"St. Clair County, AL",0.6928469727534975,-0.19492894
43120.0,"Lincoln City, AL",45180,"Talladega-Sylacauga, AL",0.23209939148073022,-1.2884623
24184.0,"Enterprise City, AL",21460,"Coffee County, AL",0.9702217335532344,-0.9277211
74592.0,"Talladega City, AL",45180,"Talladega-Sylacauga, AL",0.7679006085192698,-0.5380235
78204.0,"Valley City, AL",46740,"Chambers County, AL",0.7398648648648649,-1.98215
28552.0,"Fultondale City, AL",13820,"St. Clair County, AL",0.01881774888933908,-0.53684545
26992.0,"Foley City, AL",19300,"Baldwin County, AL",0.3781763826606876,-0.490187
68736.0,"Scottsboro City, AL",42460,"Jackson County, AL",1.0,-0.98727113
21184.0,"Dothan City, AL",20020,"Geneva County, AL",0.9418742781719188,-0.9431387
21184.0,"Dothan City, AL",21460,"Coffee County, AL",0.029778266446765622,-0.9431387
71832.0,"Southside City, AL",11500,"Calhoun County, AL",1.0,-0.3242147
71832.0,"Southside City, AL",23460,"Etowah County, AL",0.35446286506184876,-0.3242147
63288.0,"Rainbow City City, AL",23460,"Etowah County, AL",0.43258225119334803,-1.1397963
57000.0,"Oneonta City, AL",13820,"St. Clair County, AL",0.015910199819098518,-1.204409
78552.0,"Vestavia Hills City, AL",13820,"St. Clair County, AL",0.06983824439961538,0.7098234
51696.0,"City of Mountain Brook, AL",13820,"St. Clair County, AL",0.05879012859983964,0.43084297
25240.0,"Fairhope City, AL",19300,"Baldwin County, AL",0.6218236173393124,-1.0898678
76944.0,"Trussville City, AL",13820,"St. Clair County, AL",0.036876510484582,0.32437176
62328.0,"Prattville City, AL",33860,"Elmore County, AL",1.0,-0.991755
37000.0,"Huntsville City, AL",26620,"Limestone County, AL",0.765826859314117,-1.6218392
15064.0,"Citronelle City, AL",33660,"Mobile County, AL",0.017512372091242377,-0.44745475
40672.0,"City of Lafayette, AL",46740,"Chambers County, AL",0.26013513513513514,-1.1785936
9460.0,"Bryant City, AR",30780,"Little Rock-North Little Rock-Conway, AR",0.06676148018488635,-0.8026766
14140.0,"Clarksville City, AR", , ,0.006713779382026137,-1.4608899
24430.0,"Forrest City, AR",22620,"St. Francis County, AR",1.0,-0.21320291
46970.0,"Morrilton City, AR", , ,0.0056970145034682205,-1.1326352
23290.0,"Fayetteville City, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",0.3350534208384561,-0.38837332
43610.0,"Malvern, AR", , ,0.00784622409706669,-1.1230665
64370.0,"Siloam Springs City, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",0.06258694234243595,-0.96833587
5320.0,"Bentonville City, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",0.11388364589285817,-1.0018177
67490.0,"Stuttgart City, AR", , ,0.008475939898671422,-1.1613024
34750.0,"Jacksonville City, AR",30780,"Little Rock-North Little Rock-Conway, AR",0.2045510488745453,-0.85094196
21730.0,"England City, AR",30780,"Little Rock-North Little Rock-Conway, AR",0.02032108962612477,-0.5262998
50450.0,"North Little Rock City, AR",30780,"Little Rock-North Little Rock-Conway, AR",0.41321144326231435,-1.5276258
28780.0,"Greenwood City, AR",22900,"Crawford County, AR",0.4709621879345739,-0.83353406
66080.0,"Springdale City, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",0.26435089785104504,-0.46222168
70010.0,"Truman Town, AR",27860,"Craighead County, AR",1.0,-0.6785174
5560.0,"Berryville City, AR", , ,0.0038557046250190263,-0.056271266
73310.0,"Warren City, AR", , ,0.0056030789971514925,-1.2674029
13472.0,"Cherokee Village City, AR", , ,0.004042705864445845,-1.3231068
60410.0,"Rogers City, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",0.22412509307520476,0.7806707
55310.0,"Pine Bluff City, AR",38220,"Pine Bluff, AR",1.0,-1.7647055
46580.0,"Monticello City, AR", , ,0.007954945747896236,-1.7979169
15190.0,"Conway City, AR",30780,"Little Rock-North Little Rock-Conway, AR",0.2951549380521292,-0.6367342
33400.0,"City of Hot Springs, AR",26300,"Garland County, AR",1.0,-0.5126648
65350.0,"Sedona City, AZ",22380,"Coconino County, AZ",0.5104220499569336,1.2326812
65350.0,"Sedona City, AZ",39140,"Yavapai County, AZ",0.29817686850354724,1.2326812
46000.0,"Mesa City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.16022130042903535,0.3652682
12840.0,"Chino Valley Town, AZ",39140,"Yavapai County, AZ",0.32317274377165484,0.8423935
28380.0,"Goodyear, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.0076441375273755595,1.3764937
83090.0,"Willcox City, AZ",43420,"Cochise County, AZ",0.16404464756547724,0.30894932
2830.0,"Apache Junction City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.012859742546450535,0.84734017
83930.0,"Winslow City, AZ",43320,"Navajo County, AZ",0.3710777626193724,0.63077915
33280.0,"City of Holbrook, AZ",43320,"Navajo County, AZ",0.19165854609237964,0.28405488
62140.0,"Sahuarita, AZ",46060,"Pima County, AZ",0.006080304277781008,2.0760942
23760.0,"Florence Town, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.006893507556018338,-0.26105353
16410.0,"Cottonwood City, AZ",39140,"Yavapai County, AZ",0.3786091404058736,0.2202949
