statecode,cbsa,cbsa_weight,communityname18,fipsplacecode18,local_political_pressure_2018,state_involvement_2018,court_involvement_2018,local_project_2018,local_zoning_2018,local_assembly_2018,supply_restrictions_2018,density_restriction_2018,open_space_2018,exactions_2018,affordable_housing_2018,approval_delay_2018,wrluri18
25.0,44140,0.10455430728094982,southwick,65825,8.0,2.0,4.0,5.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,1.0427913665771484
25.0,49340,0.029834855903680662,ashburnham,1885,8.0,2.0,4.0,3.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,3.75,0.9859632849693298
25.0,14460,0.017433485783088478,ashland,2130,11.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,3.375,0.43484681844711304
25.0,49340,0.02402586570635162,bolton,6365,10.0,2.0,2.0,5.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,3.5,0.8965962529182434
25.0,14460,0.006923803490059247,stow,68050,11.0,1.0,4.0,5.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,5.9166669845581055,1.391174077987671
25.0,14460,0.0035827268438698074,nahant,43580,9.0,3.0,6.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,,
25.0,39300,0.09437741194861023,mansfield,38225,9.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,3.75,0.21651537716388702
25.0,14460,0.011038160768825864,norwell,50145,8.0,2.0,6.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,9.854166984558105,-0.04017263278365135
25.0,14460,0.028327707086339516,stoughton,67945,12.0,3.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,14.55555534362793,2.031931161880493
25.0,14460,0.007898809505047863,halifax,27795,6.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,
25.0,12700,0.5249099639855942,harwich,29020,12.0,3.0,4.0,6.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,7.9375,1.0694735050201416
44.0,39300,0.02615488577337046,exeter,25300,11.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,4.75,2.037733793258667
44.0,39300,0.07078712976079983,portsmouth,57880,7.0,2.0,2.0,0.0,4.0,0.0,4.0,3.0,0.0,1.0,0.0,8.666666984558105,-0.2186097353696823
33.0,14460,0.006735736597081916,epping,24660,9.0,4.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,13.55555534362793,1.1465213298797607
33.0,31700,0.09036558754072878,milford,48020,8.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.625,0.0737547054886818
33.0,31700,0.5171075837742505,nashua,50260,9.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.625,0.10127084702253342
33.0,18180,0.27818068454041284,franklin,27380,8.0,2.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,-0.18024298548698425
33.0,28300,0.3316239316239316,rindge,64580,3.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.625,-2.2927663326263428
23.0,38860,0.0365413321499173,berwick,4720,10.0,1.0,2.0,2.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,6.0,0.5145686864852905
23.0,38860,0.02190664461209505,lyman,41750,6.0,2.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.125,-1.0881272554397583
23.0,38860,0.08822164844474926,westbrook,82105,9.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,6.875,0.04199976474046707
23.0,12620,0.09575097276264591,holden,33490,8.0,2.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0625,-1.0150234699249268
23.0,12300,0.16338928019690502,oakland,54560,5.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.5,-1.5543073415756226
50.0,17200,0.08426807760141093,randolph,58075,8.0,5.0,6.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,1.625,0.8352196216583252
50.0,13540,1.0,manchester,42850,7.0,2.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0625,-1.0295673608779907
9.0,25540,0.06167658180592018,bloomfield,5910,9.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,-0.4923667013645172
9.0,25540,0.05333702642163829,plainville,60120,9.0,5.0,4.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,3.125,0.7897670269012451
