cbsa23,cbsatype23,CBSAName23,pop20,afact
10100,Micro,"Aberdeen, SD",42287,1
10140,Micro,"Aberdeen, WA",75636,1
10180,Metro,"Abilene, TX",176579,1
10220,Micro,"Ada, OK",38065,1
10300,Micro,"Adrian, MI",99423,1
10380,Metro,"Aguadilla, PR",253768,1
10420,Metro,"Akron, OH",702219,1
10460,Micro,"Alamogordo, NM",67839,1
10480,Micro,"Alamosa, CO",27336,1
10500,Metro,"Albany, GA",148922,1
10540,Metro,"Albany, OR",128610,1
10580,Metro,"Albany-Schenectady-Troy, NY",899262,1
10620,Micro,"Albemarle, NC",62504,1
10660,Micro,"Albert Lea, MN",30895,1
10700,Micro,"Albertville, AL",97612,1
10740,Metro,"Albuquerque, NM",916528,1
10760,Micro,"Alexander City, AL",41311,1
10780,Metro,"Alexandria, LA",152192,1
10820,Micro,"Alexandria, MN",39006,1
10860,Micro,"Alice, TX",45967,1
10900,Metro,"Allentown-Bethlehem-Easton, PA-NJ",861889,1
10940,Micro,"Alma, MI",41761,1
10980,Micro,"Alpena, MI",28907,1
11020,Metro,"Altoona, PA",122822,1
11060,Micro,"Altus, OK",24785,1
11100,Metro,"Amarillo, TX",268691,1
11140,Micro,"Americus, GA",34163,1
11180,Metro,"Ames, IA",125252,1
11200,Metro,"Amherst Town-Northampton, MA",162308,1
11220,Micro,"Amsterdam, NY",49532,1
11260,Metro,"Anchorage, AK",398328,1
11360,Micro,"Anderson Creek, NC",133568,1
11380,Micro,"Andrews, TX",18610,1
11420,Micro,"Angola, IN",34435,1
11460,Metro,"Ann Arbor, MI",372258,1
11500,Metro,"Anniston-Oxford, AL",116441,1
11540,Metro,"Appleton, WI",243147,1
11580,Micro,"Arcadia, FL",33976,1
11620,Micro,"Ardmore, OK",48003,1
11640,Metro,"Arecibo, PR",182705,1
11660,Micro,"Arkadelphia, AR",21446,1
11680,Micro,"Arkansas City-Winfield, KS",34549,1
11700,Metro,"Asheville, NC",406926,1
11740,Micro,"Ashland, OH",52447,1
11820,Micro,"Astoria, OR",41072,1
11860,Micro,"Atchison, KS",16348,1
11900,Micro,"Athens, OH",62431,1
11940,Micro,"Athens, TN",66034,1
11980,Micro,"Athens, TX",82150,1
12020,Metro,"Athens-Clarke County, GA",215415,1
12060,Metro,"Atlanta-Sandy Springs-Roswell, GA",6104803,1
12100,Metro,"Atlantic City-Hammonton, NJ",369797,1
12140,Micro,"Auburn, IN",43265,1
12180,Micro,"Auburn, NY",76248,1
12220,Metro,"Auburn-Opelika, AL",193773,1
12260,Metro,"Augusta-Richmond County, GA-SC",611000,1
12300,Micro,"Augusta-Waterville, ME",123642,1
12380,Micro,"Austin, MN",40029,1
12420,Metro,"Austin-Round Rock-San Marcos, TX",2283371,1
12460,Micro,"Bainbridge, GA",29367,1
12520,Micro,"Baker City, OR",16668,1
12540,Metro,"Bakersfield-Delano, CA",909235,1
12580,Metro,"Baltimore-Columbia-Towson, MD",2844510,1
12620,Metro,"Bangor, ME",152199,1
12660,Micro,"Baraboo, WI",65763,1
12700,Metro,"Barnstable Town, MA",228996,1
12740,Micro,"Barre, VT",59807,1
12780,Micro,"Bartlesville, OK",52455,1
12860,Micro,"Batavia, NY",58388,1
12900,Micro,"Batesville, AR",37938,1
12940,Metro,"Baton Rouge, LA",870569,1
12980,Metro,"Battle Creek, MI",134310,1
13020,Metro,"Bay City, MI",103856,1
13060,Micro,"Bay City, TX",36255,1
13100,Micro,"Beatrice, NE",21704,1
13140,Metro,"Beaumont-Port Arthur, TX",397565,1
13180,Micro,"Beaver Dam, WI",89396,1
13220,Metro,"Beckley, WV",115079,1
13260,Micro,"Bedford, IN",45011,1
13300,Micro,"Beeville, TX",31047,1
13340,Micro,"Bellefontaine, OH",46150,1
13380,Metro,"Bellingham, WA",226847,1
13420,Micro,"Bemidji, MN",46228,1
13460,Metro,"Bend, OR",247493,1
13540,Micro,"Bennington, VT",37347,1
13660,Micro,"Big Rapids, MI",39714,1
13700,Micro,"Big Spring, TX",34860,1
13740,Metro,"Billings, MT",184167,1
13780,Metro,"Binghamton, NY",247138,1
13820,Metro,"Birmingham, AL",1180631,1
13860,Micro,"Bishop, CA",19016,1
13900,Metro,"Bismarck, ND",133626,1
13940,Micro,"Blackfoot, ID",47992,1
13980,Metro,"Blacksburg-Christiansburg-Radford, VA",181854,1
14010,Metro,"Bloomington, IL",170954,1
14020,Metro,"Bloomington, IN",161039,1
14100,Micro,"Bloomsburg-Berwick, PA",64727,1
14140,Micro,"Bluefield, WV-VA",100093,1
14180,Micro,"Blytheville, AR",40685,1
14220,Micro,"Bogalusa, LA",45463,1
14260,Metro,"Boise City, ID",764718,1
14300,Micro,"Bonham, TX",35662,1
14380,Micro,"Boone, NC",54086,1
14420,Micro,"Borger, TX",20617,1
14460,Metro,"Boston-Cambridge-Newton, MA-NH",4941632,1
14500,Metro,"Boulder, CO",330758,1
14540,Metro,"Bowling Green, KY",179639,1
14580,Metro,"Bozeman, MT",118960,1
14620,Micro,"Bradford, PA",40432,1
14660,Micro,"Brainerd, MN",96189,1
14700,Micro,"Branson, MO",56066,1
14710,Micro,"Brattleboro, VT",45905,1
14720,Micro,"Breckenridge, CO",38491,1
14740,Metro,"Bremerton-Silverdale-Port Orchard, WA",275611,1
14780,Micro,"Brenham, TX",35805,1
14820,Micro,"Brevard, NC",32986,1
14940,Micro,"Brigham City, UT-ID",62230,1
15020,Micro,"Brookhaven, MS",34907,1
15060,Micro,"Brookings, OR",23446,1
15100,Micro,"Brookings, SD",34375,1
15180,Metro,"Brownsville-Harlingen, TX",421017,1
15220,Micro,"Brownwood, TX",38095,1
15260,Metro,"Brunswick-St. Simons, GA",113495,1
15340,Micro,"Bucyrus, OH",42025,1
15380,Metro,"Buffalo-Cheektowaga, NY",1166902,1
15420,Micro,"Burley, ID",46268,1
15460,Micro,"Burlington, IA-IL",45297,1
15500,Metro,"Burlington, NC",171415,1
15540,Metro,"Burlington-South Burlington, VT",225562,1
15580,Micro,"Butte-Silver Bow, MT",35133,1
15620,Micro,"Cadillac, MI",48725,1
15660,Micro,"Calhoun, GA",57544,1
15700,Micro,"Cambridge, MD",32531,1
15740,Micro,"Cambridge, OH",38438,1
15780,Micro,"Camden, AR",27389,1
15820,Micro,"Campbellsville, KY",37130,1
15860,Micro,"Cañon City, CO",48939,1
15900,Micro,"Canton, IL",33609,1
15940,Metro,"Canton-Massillon, OH",401574,1
15980,Metro,"Cape Coral-Fort Myers, FL",760822,1
16020,Metro,"Cape Girardeau, MO-IL",97517,1
16060,Micro,"Carbondale, IL",52974,1
16100,Micro,"Carlsbad-Artesia, NM",62314,1
16140,Micro,"Carroll, IA",20760,1
16180,Metro,"Carson City, NV",58639,1
16220,Metro,"Casper, WY",79955,1
16260,Micro,"Cedar City, UT",57289,1
16300,Metro,"Cedar Rapids, IA",276520,1
16340,Micro,"Cedartown, GA",42853,1
16380,Micro,"Celina, OH",42528,1
16460,Micro,"Centralia, IL",37729,1
16500,Micro,"Centralia, WA",82149,1
16540,Metro,"Chambersburg, PA",155932,1
16580,Metro,"Champaign-Urbana, IL",236072,1
16620,Metro,"Charleston, WV",210605,1
16660,Micro,"Charleston-Mattoon, IL",46863,1
16700,Metro,"Charleston-North Charleston, SC",799636,1
16740,Metro,"Charlotte-Concord-Gastonia, NC-SC",2660329,1
16820,Metro,"Charlottesville, VA",221524,1
16860,Metro,"Chattanooga, TN-GA",562647,1
16940,Metro,"Cheyenne, WY",100512,1
16980,Metro,"Chicago-Naperville-Elgin, IL-IN",9449351,1
17020,Metro,"Chico, CA",211632,1
17060,Micro,"Chillicothe, OH",77093,1
17140,Metro,"Cincinnati, OH-KY-IN",2249797,1
17220,Micro,"Clarksburg, WV",90434,1
17260,Micro,"Clarksdale, MS",21390,1
17300,Metro,"Clarksville, TN-KY",320535,1
17340,Micro,"Clearlake, CA",68163,1
17380,Micro,"Cleveland, MS",30985,1
17410,Metro,"Cleveland, OH",2185825,1
17420,Metro,"Cleveland, TN",126164,1
17500,Micro,"Clewiston, FL",51745,1
17540,Micro,"Clinton, IA",46460,1
17580,Micro,"Clovis, NM",67621,1
17620,Micro,"Coamo, PR",54949,1
17640,Micro,"Coco, PR",25789,1
17650,Micro,"Cody, WY",29624,1
17660,Metro,"Coeur d'Alene, ID",171362,1
17740,Micro,"Coldwater, MI",44862,1
17780,Metro,"College Station-Bryan, TX",268248,1
17820,Metro,"Colorado Springs, CO",755105,1
17860,Metro,"Columbia, MO",210864,1
17900,Metro,"Columbia, SC",829470,1
17980,Metro,"Columbus, GA-AL",328883,1
18020,Metro,"Columbus, IN",82208,1
18060,Micro,"Columbus, MS",69164,1
18100,Micro,"Columbus, NE",44878,1
18140,Metro,"Columbus, OH",2138926,1
18180,Micro,"Concord, NH",153808,1
18220,Micro,"Connersville, IN",23398,1
18260,Micro,"Cookeville, TN",141333,1
18300,Micro,"Coos Bay-North Bend, OR",64929,1
18340,Micro,"Corbin, KY",149863,1
18380,Micro,"Cordele, GA",20128,1
18420,Micro,"Corinth, MS",34740,1
18460,Micro,"Cornelia, GA",46031,1
18500,Micro,"Corning, NY",93584,1
18580,Metro,"Corpus Christi, TX",445763,1
18620,Micro,"Corsicana, TX",52624,1
18660,Micro,"Cortland, NY",46809,1
18700,Metro,"Corvallis, OR",95184,1
18740,Micro,"Coshocton, OH",36612,1
18820,Micro,"Crawfordsville, IN",37936,1
18860,Micro,"Crescent City, CA",27743,1
18880,Metro,"Crestview-Fort Walton Beach-Destin, FL",286973,1
18900,Micro,"Crossville, TN",61145,1
18980,Micro,"Cullman, AL",87866,1
19060,Micro,"Cumberland, MD-WV",95044,1
19100,Metro,"Dallas-Fort Worth-Arlington, TX",7637387,1
19140,Metro,"Dalton, GA",142837,1
19180,Micro,"Danville, IL",74188,1
19220,Micro,"Danville, KY",54889,1
19260,Micro,"Danville, VA",103091,1
19300,Metro,"Daphne-Fairhope-Foley, AL",231767,1
19340,Metro,"Davenport-Moline-Rock Island, IA-IL",384324,1
19430,Metro,"Dayton-Kettering-Beavercreek, OH",814049,1
19460,Metro,"Decatur, AL",156494,1
19500,Metro,"Decatur, IL",103998,1
19540,Micro,"Decatur, IN",35809,1
19580,Micro,"Defiance, OH",38286,1
19620,Micro,"Del Rio, TX",47586,1
19660,Metro,"Deltona-Daytona Beach-Ormond Beach, FL",668921,1
19700,Micro,"Deming, NM",25427,1
19740,Metro,"Denver-Aurora-Centennial, CO",2963821,1
19760,Micro,"DeRidder, LA",36549,1
19780,Metro,"Des Moines-West Des Moines, IA",709466,1
19810,Micro,"Detroit Lakes, MN",35183,1
19820,Metro,"Detroit-Warren-Dearborn, MI",4392041,1
19860,Micro,"Dickinson, ND",38686,1
19940,Micro,"Dixon, IL",34145,1
19980,Micro,"Dodge City, KS",34287,1
20020,Metro,"Dothan, AL",151007,1
20060,Micro,"Douglas, GA",51378,1
20100,Metro,"Dover, DE",181851,1
20140,Micro,"Dublin, GA",58759,1
20180,Micro,"DuBois, PA",80562,1
20220,Metro,"Dubuque, IA",99266,1
20260,Metro,"Duluth, MN-WI",280733,1
20300,Micro,"Dumas, TX",21358,1
20340,Micro,"Duncan, OK",42848,1
20420,Micro,"Durango, CO",55638,1
20460,Micro,"Durant, OK",46067,1
20500,Metro,"Durham-Chapel Hill, NC",588911,1
20540,Micro,"Dyersburg, TN",36801,1
20580,Metro,"Eagle Pass, TX",57887,1
20660,Micro,"Easton, MD",37526,1
20700,Micro,"East Stroudsburg, PA",168327,1
20740,Metro,"Eau Claire, WI",172007,1
20780,Micro,"Edwards, CO",55731,1
20820,Micro,"Effingham, IL",45118,1
20900,Micro,"El Campo, TX",41570,1
20940,Metro,"El Centro, CA",179702,1
20980,Micro,"El Dorado, AR",39054,1
21020,Micro,"Elizabeth City, NC",40568,1
21060,Metro,"Elizabethtown, KY",125569,1
21120,Micro,"Elk City, OK",22410,1
21140,Metro,"Elkhart-Goshen, IN",207047,1
21180,Micro,"Elkins, WV",27932,1
21220,Micro,"Elko, NV",55557,1
21260,Micro,"Ellensburg, WA",44337,1
21300,Metro,"Elmira, NY",84148,1
21340,Metro,"El Paso, TX",868859,1
21380,Micro,"Emporia, KS",34751,1
21420,Metro,"Enid, OK",62846,1
21460,Micro,"Enterprise, AL",53465,1
21500,Metro,"Erie, PA",270876,1
21540,Micro,"Escanaba, MI",36903,1
21580,Micro,"Española, NM",40363,1
21640,Micro,"Eufaula, AL-GA",27458,1
21660,Metro,"Eugene-Springfield, OR",382971,1
21700,Micro,"Eureka-Arcata, CA",136463,1
21740,Micro,"Evanston, WY-UT",22960,1
21780,Metro,"Evansville, IN",269256,1
21820,Metro,"Fairbanks-College, AK",95655,1
21860,Micro,"Fairmont, MN",20025,1
21900,Micro,"Fairmont, WV",56205,1
21980,Micro,"Fallon, NV",25516,1
22020,Metro,"Fargo, ND-MN",249843,1
22060,Micro,"Faribault-Northfield, MN",67097,1
22100,Micro,"Farmington, MO",66922,1
22140,Metro,"Farmington, NM",121661,1
22180,Metro,"Fayetteville, NC",386810,1
22190,Micro,"Fayetteville, TN",35319,1
22220,Metro,"Fayetteville-Springdale-Rogers, AR",546725,1
22260,Micro,"Fergus Falls, MN",60081,1
22300,Micro,"Findlay, OH",74920,1
22340,Micro,"Fitzgerald, GA",17194,1
22380,Metro,"Flagstaff, AZ",145101,1
22420,Metro,"Flint, MI",406211,1
22500,Metro,"Florence, SC",199964,1
22520,Metro,"Florence-Muscle Shoals, AL",150791,1
22540,Metro,"Fond du Lac, WI",104154,1
22580,Micro,"Forest City, NC",64444,1
22620,Micro,"Forrest City, AR",23090,1
22660,Metro,"Fort Collins-Loveland, CO",359066,1
22700,Micro,"Fort Dodge, IA",36999,1
22780,Micro,"Fort Leonard Wood, MO",53955,1
22800,Micro,"Fort Madison, IA",33555,1
22820,Micro,"Fort Morgan, CO",29111,1
22840,Micro,"Fort Payne, AL",71608,1
22900,Metro,"Fort Smith, AR-OK",227213,1
23060,Metro,"Fort Wayne, IN",447781,1
23140,Micro,"Frankfort, IN",33190,1
23180,Micro,"Frankfort, KY",75393,1
