"county","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","county-to-cbsa20 allocation factor"
"01001","33860","Autauga AL","Montgomery, AL",58805,1 
"01003","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",231767,1 
"01005","21640","Barbour AL","Eufaula, AL-GA",25223,1 
"01007","13820","Bibb AL","Birmingham-Hoover, AL",22293,1 
"01009","13820","Blount AL","Birmingham-Hoover, AL",59134,1 
"01011","99999","Bullock AL","[not in a CBSA]",10357,1 
"01013","99999","Butler AL","[not in a CBSA]",19051,1 
"01015","11500","Calhoun AL","Anniston-Oxford, AL",116441,1 
"01017","29300","Chambers AL","LaGrange, GA-AL",34772,1 
"01019","99999","Cherokee AL","[not in a CBSA]",24971,1 
"01021","13820","Chilton AL","Birmingham-Hoover, AL",45014,1 
"01023","99999","Choctaw AL","[not in a CBSA]",12665,1 
"01025","99999","Clarke AL","[not in a CBSA]",23087,1 
"01027","99999","Clay AL","[not in a CBSA]",14236,1 
"01029","99999","Cleburne AL","[not in a CBSA]",15056,1 
"01031","21460","Coffee AL","Enterprise, AL",53465,1 
"01033","22520","Colbert AL","Florence-Muscle Shoals, AL",57227,1 
"01035","99999","Conecuh AL","[not in a CBSA]",11597,1 
"01037","10760","Coosa AL","Alexander City, AL",10387,1 
"01039","99999","Covington AL","[not in a CBSA]",37570,1 
"01041","99999","Crenshaw AL","[not in a CBSA]",13194,1 
"01043","18980","Cullman AL","Cullman, AL",87866,1 
"01045","37120","Dale AL","Ozark, AL",49326,1 
"01047","42820","Dallas AL","Selma, AL",38462,1 
"01049","22840","DeKalb AL","Fort Payne, AL",71608,1 
"01051","33860","Elmore AL","Montgomery, AL",87977,1 
"01053","12120","Escambia AL","Atmore, AL",36757,1 
"01055","23460","Etowah AL","Gadsden, AL",103436,1 
"01057","99999","Fayette AL","[not in a CBSA]",16321,1 
"01059","99999","Franklin AL","[not in a CBSA]",32113,1 
"01061","20020","Geneva AL","Dothan, AL",26659,1 
"01063","46220","Greene AL","Tuscaloosa, AL",7730,1 
"01065","46220","Hale AL","Tuscaloosa, AL",14785,1 
"01067","20020","Henry AL","Dothan, AL",17146,1 
"01069","20020","Houston AL","Dothan, AL",107202,1 
"01071","42460","Jackson AL","Scottsboro, AL",52579,1 
"01073","13820","Jefferson AL","Birmingham-Hoover, AL",674721,1 
"01075","99999","Lamar AL","[not in a CBSA]",13972,1 
"01077","22520","Lauderdale AL","Florence-Muscle Shoals, AL",93564,1 
"01079","19460","Lawrence AL","Decatur, AL",33073,1 
"01081","12220","Lee AL","Auburn-Opelika, AL",174241,1 
"01083","26620","Limestone AL","Huntsville, AL",103570,1 
"01085","33860","Lowndes AL","Montgomery, AL",10311,1 
"01087","99999","Macon AL","[not in a CBSA]",19532,1 
"01089","26620","Madison AL","Huntsville, AL",388153,1 
"01091","99999","Marengo AL","[not in a CBSA]",19323,1 
"01093","99999","Marion AL","[not in a CBSA]",29341,1 
"01095","10700","Marshall AL","Albertville, AL",97612,1 
"01097","33660","Mobile AL","Mobile, AL",414809,1 
"01099","99999","Monroe AL","[not in a CBSA]",19772,1 
"01101","33860","Montgomery AL","Montgomery, AL",228954,1 
"01103","19460","Morgan AL","Decatur, AL",123421,1 
"01105","99999","Perry AL","[not in a CBSA]",8511,1 
"01107","46220","Pickens AL","Tuscaloosa, AL",19123,1 
"01109","45980","Pike AL","Troy, AL",33009,1 
"01111","99999","Randolph AL","[not in a CBSA]",21967,1 
"01113","17980","Russell AL","Columbus, GA-AL",59183,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL",91103,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL",223024,1 
"01119","99999","Sumter AL","[not in a CBSA]",12345,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL",82149,1 
"01123","10760","Tallapoosa AL","Alexander City, AL",41311,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL",227036,1 
"01127","27530","Walker AL","Jasper, AL",65342,1 
"01129","33660","Washington AL","Mobile, AL",15388,1 
"01131","99999","Wilcox AL","[not in a CBSA]",10600,1 
"01133","99999","Winston AL","[not in a CBSA]",23540,1 
"02013","99999","Aleutians East Borough AK","[not in a CBSA]",3420,1 
"02016","99999","Aleutians West Census Area AK","[not in a CBSA]",5232,1 
"02020","11260","Anchorage Borough AK","Anchorage, AK",291247,1 
"02050","99999","Bethel Census Area AK","[not in a CBSA]",18666,1 
"02060","99999","Bristol Bay Borough AK","[not in a CBSA]",844,1 
"02063","99999","Chugach Census Area AK","[not in a CBSA]",7102,1 
"02066","99999","Copper River Census Area AK","[not in a CBSA]",2617,1 
"02068","99999","Denali Borough AK","[not in a CBSA]",1619,1 
"02070","99999","Dillingham Census Area AK","[not in a CBSA]",4857,1 
"02090","21820","Fairbanks North Star Borough AK","Fairbanks, AK",95655,1 
"02100","99999","Haines Borough AK","[not in a CBSA]",2080,1 
"02105","99999","Hoonah-Angoon Census Area","[not in a CBSA]",2365,1 
"02110","27940","Juneau Borough AK","Juneau, AK",32255,1 
"02122","99999","Kenai Peninsula Borough AK","[not in a CBSA]",58799,1 
"02130","28540","Ketchikan Gateway Borough AK","Ketchikan, AK",13948,1 
"02150","99999","Kodiak Island Borough AK","[not in a CBSA]",13101,1 
"02158","99999","Kusilvak Census Area AK (N)","[not in a CBSA]",8368,1 
"02164","99999","Lake and Peninsula Borough AK","[not in a CBSA]",1476,1 
"02170","11260","Matanuska-Susitna Borough AK","Anchorage, AK",107081,1 
"02180","99999","Nome Census Area AK","[not in a CBSA]",10046,1 
"02185","99999","North Slope Borough AK","[not in a CBSA]",11031,1 
"02188","99999","Northwest Arctic Borough AK","[not in a CBSA]",7793,1 
