County code,County subdivision (2014),CBSA (current),County name,County subdivision name 2014,2015 CBSA name,Population (2010),cousubfp14 to cbsa allocation factor
1001,90171,33860,Autauga AL,Autaugaville CCD,"Montgomery, AL (Metro)",3320,1
1001,90315,33860,Autauga AL,Billingsley CCD,"Montgomery, AL (Metro)",2894,1
1001,92106,33860,Autauga AL,Marbury CCD,"Montgomery, AL (Metro)",5675,1
1001,92628,33860,Autauga AL,Prattville CCD,"Montgomery, AL (Metro)",42682,1
1003,90207,19300,Baldwin AL,Bay Minette CCD,"Daphne-Fairhope-Foley, AL (Metro)",23604,1
1003,90846,19300,Baldwin AL,Daphne CCD,"Daphne-Fairhope-Foley, AL (Metro)",41295,1
1003,90963,19300,Baldwin AL,Elberta CCD,"Daphne-Fairhope-Foley, AL (Metro)",10957,1
1003,91053,19300,Baldwin AL,Fairhope CCD,"Daphne-Fairhope-Foley, AL (Metro)",25894,1
1003,91152,19300,Baldwin AL,Foley CCD,"Daphne-Fairhope-Foley, AL (Metro)",48089,1
1003,92754,19300,Baldwin AL,Robertsdale CCD,"Daphne-Fairhope-Foley, AL (Metro)",24317,1
1003,93024,19300,Baldwin AL,Stockton CCD,"Daphne-Fairhope-Foley, AL (Metro)",3804,1
1003,93042,19300,Baldwin AL,Summerdale CCD,"Daphne-Fairhope-Foley, AL (Metro)",4305,1
1005,90189,21640,Barbour AL,Bakerhill CCD,"Eufaula, AL-GA (Micro)",3467,1
1005,90630,21640,Barbour AL,Clayton CCD,"Eufaula, AL-GA (Micro)",4264,1
1005,90648,21640,Barbour AL,Clio CCD,"Eufaula, AL-GA (Micro)",4303,1
1005,91017,21640,Barbour AL,Eufaula CCD,"Eufaula, AL-GA (Micro)",13785,1
1005,91989,21640,Barbour AL,Louisville CCD,"Eufaula, AL-GA (Micro)",1638,1
1007,90531,13820,Bibb AL,Centreville-Brent CCD,"Birmingham-Hoover, AL (Metro)",12937,1
1007,92601,13820,Bibb AL,Piper-Coleanor CCD,"Birmingham-Hoover, AL (Metro)",1221,1
1007,93438,13820,Bibb AL,West Blocton CCD,"Birmingham-Hoover, AL (Metro)",8757,1
1009,90333,13820,Blount AL,Blountsville CCD,"Birmingham-Hoover, AL (Metro)",7330,1
1009,90414,13820,Blount AL,Brooksville CCD,"Birmingham-Hoover, AL (Metro)",4451,1
1009,90612,13820,Blount AL,Clarence CCD,"Birmingham-Hoover, AL (Metro)",5269,1
1009,90639,13820,Blount AL,Cleveland CCD,"Birmingham-Hoover, AL (Metro)",3789,1
1009,91557,13820,Blount AL,Hayden CCD,"Birmingham-Hoover, AL (Metro)",12844,1
1009,91953,13820,Blount AL,Locust Fork CCD,"Birmingham-Hoover, AL (Metro)",8731,1
1009,92439,13820,Blount AL,Oneonta CCD,"Birmingham-Hoover, AL (Metro)",14908,1
1011,91098, ,Bullock AL,Fitzpatrick CCD, ,750,1
1011,91701, ,Bullock AL,Inverness CCD, ,1628,1
1011,92133, ,Bullock AL,Midway CCD, ,1434,1
1011,93249, ,Bullock AL,Union Springs CCD, ,7102,1
1013,90540, ,Butler AL,Chapman CCD, ,1774,1
1013,91170, ,Butler AL,Forest Home CCD, ,1469,1
1013,91314, ,Butler AL,Georgiana-McKenzie CCD, ,4341,1
1013,91422, ,Butler AL,Greenville CCD, ,13363,1
1015,90066,11500,Calhoun AL,Alexandria-Webster Chapel CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",11730,1
1015,90099,11500,Calhoun AL,Anniston CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",68662,1
1015,90585,11500,Calhoun AL,Choccolocco CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",7348,1
1015,91746,11500,Calhoun AL,Jacksonville CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",18722,1
1015,92430,11500,Calhoun AL,Ohatchee CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",4615,1
1015,92556,11500,Calhoun AL,Piedmont CCD,"Anniston-Oxford-Jacksonville, AL (Metro)",7495,1
1017,91107,46740,Chambers AL,Five Points CCD,"Valley, AL (Micro)",2537,1
1017,91818,46740,Chambers AL,La Fayette CCD,"Valley, AL (Micro)",5427,1
1017,91827,46740,Chambers AL,Lanett CCD,"Valley, AL (Micro)",9961,1
1017,92169,46740,Chambers AL,Milltown CCD,"Valley, AL (Micro)",1082,1
1017,93272,46740,Chambers AL,Valley CCD,"Valley, AL (Micro)",13966,1
1017,93393,46740,Chambers AL,Waverly CCD,"Valley, AL (Micro)",1242,1
1019,90513, ,Cherokee AL,Cedar Bluff-Gaylesville CCD, ,7204,1
1019,90522, ,Cherokee AL,Centre CCD, ,8252,1
1019,91854, ,Cherokee AL,Leesburg CCD, ,5561,1
1019,92983, ,Cherokee AL,Spring Garden CCD, ,4972,1
1021,90603,13820,Chilton AL,Clanton CCD,"Birmingham-Hoover, AL (Metro)",14329,1
1021,91710,13820,Chilton AL,Isabella-Pletcher CCD,"Birmingham-Hoover, AL (Metro)",3261,1
1021,91764,13820,Chilton AL,Jemison CCD,"Birmingham-Hoover, AL (Metro)",14242,1
1021,92097,13820,Chilton AL,Maplesville CCD,"Birmingham-Hoover, AL (Metro)",2902,1
1021,92178,13820,Chilton AL,Mineral Springs CCD,"Birmingham-Hoover, AL (Metro)",3808,1
1021,93285,13820,Chilton AL,Verbena CCD,"Birmingham-Hoover, AL (Metro)",5101,1
1023,90441, ,Choctaw AL,Butler CCD, ,4423,1
1023,91332, ,Choctaw AL,Gilbertown-Toxey CCD, ,3879,1
1023,91908, ,Choctaw AL,Lisman CCD, ,3184,1
1023,92925, ,Choctaw AL,Silas CCD, ,2373,1
1025,90675, ,Clarke AL,Coffeeville CCD, ,1329,1
1025,91260, ,Clarke AL,Fulton CCD, ,1760,1
1025,91440, ,Clarke AL,Grove Hill CCD, ,5488,1
1025,91726, ,Clarke AL,Jackson CCD, ,7723,1
1025,93132, ,Clarke AL,Thomasville CCD, ,6513,1
1025,93362, ,Clarke AL,Walker Springs CCD, ,3020,1
1027,90126, ,Clay AL,Ashland CCD, ,6128,1
