state,placefp,cbsa,stab,placenm,cbsaname,pop2k,afact
1,124,20020,AL,Abbeville city,"Geneva County, AL",2987,1
1,460,13820,AL,Adamsville city,"St. Clair County, AL",4965,1
1,484, ,AL,Addison town, ,723,1
1,676,46220,AL,Akron town,"Tuscaloosa, AL",521,1
1,820,13820,AL,Alabaster city,"St. Clair County, AL",22619,1
1,988,10700,AL,Albertville city,"Marshall County, AL",17247,1
1,1132,10760,AL,Alexander City city,"Tallapoosa County, AL",15008,1
1,1180,11500,AL,Alexandria CDP,"Calhoun County, AL",3692,1
1,1228, ,AL,Aliceville city, ,2567,1
1,1396,13820,AL,Allgood town,"St. Clair County, AL",629,1
1,1660,13820,AL,Altoona town,"St. Clair County, AL",15,0.0152
1,1660,23460,AL,Altoona town,"Etowah County, AL",969,0.9848
1,1708, ,AL,Andalusia city, ,8794,1
1,1756,22520,AL,Anderson town,"Lauderdale County, AL",354,1
1,1852,11500,AL,Anniston city,"Calhoun County, AL",24276,1
1,2116,10700,AL,Arab city,"Marshall County, AL",7146,0.9961
1,2116,18980,AL,Arab city,"Cullman County, AL",28,0.0039
1,2260,26620,AL,Ardmore town,"Limestone County, AL",1034,1
1,2320,13820,AL,Argo town,"St. Clair County, AL",1780,1
1,2428,21460,AL,Ariton town,"Coffee County, AL",772,1
1,2500, ,AL,Arley town, ,290,1
1,2836,20020,AL,Ashford city,"Geneva County, AL",1853,1
1,2860, ,AL,Ashland city, ,1965,1
1,2908,13820,AL,Ashville town,"St. Clair County, AL",2260,1
1,2956,26620,AL,Athens city,"Limestone County, AL",18967,1
1,3004, ,AL,Atmore city, ,7676,1
1,3028,23460,AL,Attalla city,"Etowah County, AL",6592,1
1,3076,12220,AL,Auburn city,"Lee County, AL",42987,1
1,3220,33860,AL,Autaugaville town,"Elmore County, AL",820,1
1,3364,20020,AL,Avon town,"Geneva County, AL",466,1
1,3556, ,AL,Babbie town, ,627,1
1,3676,18980,AL,Baileyton town,"Cullman County, AL",684,1
1,3940,45980,AL,Banks town,"Pike County, AL",224,1
1,4660,19300,AL,Bay Minette city,"Baldwin County, AL",7820,1
1,4684,33660,AL,Bayou La Batre city,"Mobile County, AL",2313,1
1,4852, ,AL,Bear Creek town, ,1053,1
1,4900, ,AL,Beatrice town, ,412,1
1,4948, ,AL,Beaverton town, ,226,1
1,5164, ,AL,Belk town, ,214,1
1,5692,33860,AL,Benton town,"Elmore County, AL",47,1
1,5932, ,AL,Berry town, ,1238,1
1,5980,13820,AL,Bessemer city,"St. Clair County, AL",29672,1
1,6460,33860,AL,Billingsley town,"Elmore County, AL",116,1
1,7000,13820,AL,Birmingham city,"St. Clair County, AL",242820,1
1,7120,20020,AL,Black town,"Geneva County, AL",202,1
1,7456,13820,AL,Blountsville town,"St. Clair County, AL",1768,1
1,7552,11500,AL,Blue Mountain town,"Calhoun County, AL",233,1
1,7588,33860,AL,Blue Ridge CDP,"Elmore County, AL",1331,1
1,7672,21640,AL,Blue Springs town,"Eufaula, AL-GA",121,1
1,7912,10700,AL,Boaz city,"Marshall County, AL",6765,0.9128
1,7912,23460,AL,Boaz city,"Etowah County, AL",646,0.0872
1,8104,46220,AL,Boligee town,"Tuscaloosa, AL",369,1
1,8248,45180,AL,Bon Air town,"Talladega-Sylacauga, AL",96,1
1,8920,13820,AL,Branchville town,"St. Clair County, AL",825,1
1,9016, ,AL,Brantley town, ,920,1
1,9136,13820,AL,Brent city,"St. Clair County, AL",4024,1
1,9208, ,AL,Brewton city, ,5498,1
1,9328,42460,AL,Bridgeport city,"Jackson County, AL",2728,1
1,9400,13820,AL,Brighton city,"St. Clair County, AL",3640,1
1,9424, ,AL,Brilliant town, ,762,1
1,9736,13820,AL,Brookside town,"St. Clair County, AL",1393,1
1,9808,46220,AL,Brookwood town,"Tuscaloosa, AL",1483,1
1,10240,45980,AL,Brundidge city,"Pike County, AL",2341,1
1,11032, ,AL,Butler city, ,1952,1
1,11128,11500,AL,Bynum CDP,"Calhoun County, AL",1863,1
1,11248,13820,AL,Cahaba Heights CDP,"St. Clair County, AL",5203,1
1,11416,13820,AL,Calera city,"St. Clair County, AL",3158,1
1,11512, ,AL,Camden town, ,2257,1
1,11680,10760,AL,Camp Hill town,"Tallapoosa County, AL",1273,1
1,12016,13820,AL,Carbon Hill city,"St. Clair County, AL",2071,1
1,12040,13820,AL,Cardiff town,"St. Clair County, AL",82,1
1,12160, ,AL,Carolina town, ,248,1
1,12304, ,AL,Carrollton town, ,987,1
1,12496, ,AL,Castleberry town, ,590,1
1,12760, ,AL,Cedar Bluff town, ,1467,1
1,13264,13820,AL,Center Point CDP,"St. Clair County, AL",22784,1
1,13648, ,AL,Centre city, ,3216,1
1,13672,13820,AL,Centreville city,"St. Clair County, AL",2466,1
1,13720,13820,AL,Chalkville CDP,"St. Clair County, AL",3829,1
1,14008, ,AL,Chatom town, ,1193,1
1,14104,13820,AL,Chelsea town,"St. Clair County, AL",2949,1
1,14152,22520,AL,Cherokee town,"Lauderdale County, AL",1237,1
1,14392,33660,AL,Chickasaw city,"Mobile County, AL",6364,1
1,14464,45180,AL,Childersburg city,"Talladega-Sylacauga, AL",4927,1
1,15064,33660,AL,Citronelle city,"Mobile County, AL",3659,1
1,15136,13820,AL,Clanton city,"St. Clair County, AL",7800,1
1,15256,13820,AL,Clay CDP,"St. Clair County, AL",4947,1
1,15304,21460,AL,Clayhatchee town,"Coffee County, AL",501,1
1,15376,21640,AL,Clayton town,"Eufaula, AL-GA",1475,1
1,15472,13820,AL,Cleveland town,"St. Clair County, AL",1241,1
1,15640,21640,AL,Clio town,"Eufaula, AL-GA",2206,1
1,16000,46220,AL,Coaling city,"Tuscaloosa, AL",1115,1
1,16240,20020,AL,Coffee Springs town,"Geneva County, AL",251,1
1,16264, ,AL,Coffeeville town, ,360,1
1,16312,46220,AL,Coker town,"Tuscaloosa, AL",808,1
1,16600, ,AL,Collinsville town, ,8,0.0049
1,16600,22840,AL,Collinsville town,"DeKalb County, AL",1636,0.9951
1,16684,18980,AL,Colony town,"Cullman County, AL",385,1
1,16744,20020,AL,Columbia town,"Geneva County, AL",804,1
1,16768,13820,AL,Columbiana city,"St. Clair County, AL",3316,1
1,16936,13820,AL,Concord CDP,"St. Clair County, AL",1809,1
1,17176,33860,AL,Coosada town,"Elmore County, AL",1382,1
1,17368,13820,AL,Cordova city,"St. Clair County, AL",2423,1
1,17824,20020,AL,Cottonwood town,"Geneva County, AL",1170,1
1,17968,13820,AL,County Line town,"St. Clair County, AL",257,1
1,18040,19460,AL,Courtland town,"Lawrence County, AL",769,1
1,18088,20020,AL,Cowarts town,"Geneva County, AL",1546,1
1,18304,33660,AL,Creola town,"Mobile County, AL",2002,1
1,18856,22840,AL,Crossville town,"DeKalb County, AL",1431,1
1,18952, ,AL,Cuba town, ,363,1
1,18976,18980,AL,Cullman city,"Cullman County, AL",13995,1
1,19336,10760,AL,Dadeville city,"Tallapoosa County, AL",3212,1
1,19360,21460,AL,Daleville city,"Coffee County, AL",4653,1
1,19648,19300,AL,Daphne city,"Baldwin County, AL",16581,1
1,19744,33660,AL,Dauphin Island town,"Mobile County, AL",1371,1
1,19816,10760,AL,Daviston town,"Tallapoosa County, AL",267,1
1,19912, ,AL,Dayton town, ,60,1
1,20008,33860,AL,Deatsville town,"Elmore County, AL",340,1
1,20104,19460,AL,Decatur city,"Lawrence County, AL",53846,0.9985
1,20104,26620,AL,Decatur city,"Limestone County, AL",83,0.0015
1,20296, ,AL,Demopolis city, ,7540,1
1,20392, ,AL,Detroit town, ,247,1
1,20955,18980,AL,Dodge City town,"Cullman County, AL",612,1
1,21136,13820,AL,Dora city,"St. Clair County, AL",2413,1
1,21184,20020,AL,Dothan city,"Geneva County, AL",57087,0.9887
1,21184,21460,AL,Dothan city,"Coffee County, AL",650,0.0113
1,21280, ,AL,Double Springs town, ,1003,1
1,21328,10700,AL,Douglas town,"Marshall County, AL",530,1
1,21448, ,AL,Dozier town, ,391,1
1,21952,42460,AL,Dutton town,"Jackson County, AL",310,1
1,22216, ,AL,East Brewton city, ,2496,1
1,22816,33860,AL,Eclectic town,"Elmore County, AL",1037,1
1,23032,13820,AL,Edgewater CDP,"St. Clair County, AL",730,1
1,23176, ,AL,Edwardsville town, ,186,1
1,23296,21460,AL,Elba city,"Coffee County, AL",4185,1
1,23320,19300,AL,Elberta town,"Baldwin County, AL",552,1
1,23344,13820,AL,Eldridge town,"St. Clair County, AL",184,1
1,23488,26620,AL,Elkmont town,"Limestone County, AL",470,1
1,23656,33860,AL,Elmore town,"Elmore County, AL",199,1
1,23872, ,AL,Emelle town, ,31,1
1,24184,21460,AL,Enterprise city,"Coffee County, AL",21178,1
1,24256, ,AL,Epes town, ,206,1
1,24472, ,AL,Ethelsville town, ,81,1
1,24568,21640,AL,Eufaula city,"Eufaula, AL-GA",13908,1
1,24616,20020,AL,Eunola town,"Geneva County, AL",182,1
1,24664,46220,AL,Eutaw city,"Tuscaloosa, AL",1878,1
1,24688,19460,AL,Eva town,"Lawrence County, AL",491,1
1,24808, ,AL,Evergreen city, ,3630,1
1,24880, ,AL,Excel town, ,582,1
1,25120,13820,AL,Fairfield city,"St. Clair County, AL",12381,1
1,25240,19300,AL,Fairhope city,"Baldwin County, AL",12480,1
1,25384,18980,AL,Fairview town,"Cullman County, AL",522,1
1,25648,19460,AL,Falkville town,"Lawrence County, AL",1202,1
1,25816, ,AL,Faunsdale town, ,87,1
1,25840, ,AL,Fayette city, ,4922,1
1,26200,46740,AL,Five Points town,"Chambers County, AL",146,1
1,26824, ,AL,Flomaton town, ,1588,1
1,26848, ,AL,Florala city, ,1964,1
1,26896,22520,AL,Florence city,"Lauderdale County, AL",36264,1
1,26992,19300,AL,Foley city,"Baldwin County, AL",7590,1
1,27088,13820,AL,Forestdale CDP,"St. Clair County, AL",10509,1
1,27376,46220,AL,Forkland town,"Tuscaloosa, AL",629,1
1,27520,33860,AL,Fort Deposit town,"Elmore County, AL",1270,1
1,27616,22840,AL,Fort Payne city,"DeKalb County, AL",12938,1
1,27640,21460,AL,Fort Rucker CDP,"Coffee County, AL",6052,1
1,28024,46260,AL,Franklin town,46260,149,1
1,28312, ,AL,Frisco City town, ,1460,1
1,28432, ,AL,Fruithurst city, ,270,1
1,28504, ,AL,Fulton town, ,308,1
1,28552,13820,AL,Fultondale city,"St. Clair County, AL",6595,1
