date,day_of_week,meeting_type,location,present,absent,staff,source_url
"January 9, 2014",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",Hillis,"John Rahaim – Planning Director, Aaron Starr, Jon Swae, Susan Exline, Sharon Young, Casey Noel, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3769.html
"January 16, 2014",Thursday,Regular,,"Fong, Wu, Borden, Moore, Sugaya","Antonini, Hillis","John Rahaim – Planning Director, Omar Masry, Rich Sucre, Keith DeMartini, Kei Zushi, Sharon Lai, Christina LaMorena, Michael E. Smith, Adrian Putra, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3770.html
"January 23, 2014",Thursday,Regular,,"Wu, Borden, Hillis, Moore, Sugaya","Fong, Antonini","John Rahaim – Planning Director, Sophie Hayward, Sharon Lai, Kanishka Burns, Claudia Flores, Kate McGee, Aaron Starr, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3771.html
"February 6, 2014",Thursday,Regular,,"Fong, Wu, Borden, Hillis, Moore, Sugaya",Antonini,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Steve Wertheim, Casey Noel, Tina Chang, Keith DeMartini, Susan Gygi, Elizabeth Watty, Kanishka Burns, Kate Conner,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3777.html
"February 13, 2014",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Tina Chang, Marcelle Boudreaux, Kanishka Burns, Doug Vu, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3790.html
"February 20, 2014",Thursday,Regular,,"Fong, Wu, Antonini, Borden, Hillis, Moore, Sugaya","Antonini, Moore","John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Omar Masry, Aaron Starr, Tina Chang, Keith DeMartini, Kelly Amdur, Mathew Snyder, Sharon Lai, Brittany Bendix, Jessica Look, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3791.html
"March 6, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Casey Noel, Kate McGee, Kimia Haddadan, Michael E. Smith,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3810.html
"February 27, 2014",Thursday,Regular,,"Fong,","Wu, Borden","John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Alexandra Kirby, Christine Lamorena, Kanishka Burns, Mary Woods, Jessica Look, Kevin Guy, Glenn Cabreros,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3811.html
"March 13, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Kimia Haddadan, Aaron Starr, Kearstin Dischinger, Mary Woods, Steve Wertheim, Glenn Cabreros, Kanisha Burns, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3814.html
"March 27, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Wu,"John Rahaim – Planning Director, Scott Sanchez – Zoning Administrator, Omar Masry, Debra Dwyer, Aaron Starr, Menaka Mohan, Jessica Look, Michael E. Smith, and Jonas P. Ionin – Commission Secretary",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3815.html
"April 10, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",,"John Rahaim – Planning Director, Corey Teague – Assistant Zoning Administrator,",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3817.html
"April 24, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore",Sugaya,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3836.html
"May 1, 2014",Thursday,Regular,,"Wu, Fong, Antonini, Borden, Hillis, Moore, Sugaya",Fong,"John Rahaim – Planning Director, Scott Sanchez –",https://sfplanning.s3.amazonaws.com/default/files/meetingarchive/planning_dept/sf-planning.org/index.aspx-page=3837.html
