item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2022-006831DRM,619 Marina Boulevard,"Continued to January 25, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,,0,continuance,2023-11-30
2,2023-001507OFA,838 Market Street,Continued Indefinitely,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,,0,continuance,2023-11-30
3,2022-001981DRP,1270 Pacific Avenue,Withdrawn,,,,0,continuance,2023-11-30
4,2022-001026DRP,2266 43Rd Avenue,Withdrawn,,,,0,continuance,2023-11-30
5,2023-005339CUA,690 Sacramento Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21450,0,consent_calendar,2023-11-30
6,2023-003078CUA,16 Jessie Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21451,0,consent_calendar,2023-11-30
7,2019-006995DRP,1128 Lake Street,Took DR and Approve as Modified,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,,0,consent_calendar,2023-11-30
8,2023-008013CUA,2060 Polk Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21452,0,consent_calendar,2023-11-30
15,2023-009433PCAMAP,900 Kearny Street,Approved with Modifications,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21453,1,regular_calendar,2023-11-30
16,2023-010508PCA,,"Approved with Modifications, including a five-year serial permitting review","Braun, Diamond, Koppel, Tanner","Ruiz, Imperial",21454,11,regular_calendar,2023-11-30
17,2021-005878CWP,,Reviewed and Commented,,,,5,regular_calendar,2023-11-30
19,2023-0108130OTH,,Adopted Factors and Criteria adding a new No. 10 – Penalty amounts for past cases,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21455,4,regular_calendar,2023-11-30
20,2022-005146CUA,129 Laidley Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,21456,9,regular_calendar,2023-11-30
21,2022-007060DRP,10 Seacliff – Near 25Th Avenue,Took DR and Approved with Modifications presented by both parties,"Braun, Ruiz, Diamond, Imperial, Koppel, Tanner",,,3,regular_calendar,2023-11-30
