item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
4a,2018-013877DRP,2588 Mission Street,"Continued to January 23, 2025","Campbell, McGarry, Williams, Braun, Imperial, So",None,,0,continuance,2024-11-14
4b,2018-013877PRJ,2588 Mission Street,"Continued to January 23, 2025","Campbell, McGarry, Williams, Braun, Imperial, So",None,,0,continuance,2024-11-14
17,2018-012918DRM,986 South Van Ness Avenue,"Continued to November 21, 2024","Campbell, McGarry, Williams, Braun, Imperial, So",None,,0,continuance,2024-11-14
10,2024-008950PCA,,Adopted a Recommendation for Approval with a recommendation to maintain the,"Campbell, McGarry, Braun, So","Williams, Imperial",21647,6,regular_calendar,2024-11-14
11,2024-008956PCAMAP,2301 Chestnut Street,Adopted a Recommendation for Approval with Staff Modifications,"Campbell, McGarry, Williams, Braun, Imperial, So",None,21648,3,regular_calendar,2024-11-14
12,2024-008053CRV,,After a motion to continue failed (+2 -4); Adopted with the condition the matter,"Campbell, McGarry, Braun, So","Williams, Imperial",21649,15,regular_calendar,2024-11-14
13,2016-002706CWP,,Reviewed and Commented,,,,34,regular_calendar,2024-11-14
14,2024-009056PPS,2083 Ellis Street,Reviewed and Commented,,,,8,regular_calendar,2024-11-14
15,2014-002541PHA,700 Innes Avenue,Approved,"Campbell, McGarry, Williams, Braun, Imperial, So",None,21650,6,regular_calendar,2024-11-14
16,2022-008439OFA,620 3Rd Street,Approved with Conditions,"Campbell, McGarry, Williams, Braun, Imperial, So",None,21651,4,regular_calendar,2024-11-14
